; TSI Reconstruction from Wang, Lean, Sheeley (ApJ, 2005)
; Offset -4.8741 W/m^2 to match SORCE/TIM absolute value
;    from Kopp & Lean (GRL, 2011)
; Extended using SORCE/TIM annual averages from 2003 onward
; Computed by Greg Kopp using TIM V.12 on Thu Jan 19 15:07:56 2012
;
; Year   TSI [W/m^2]
1610.5     1360.6728
1611.5     1360.6559
1612.5     1361.0538
1613.5     1361.1658
1614.5     1361.2402
1615.5     1360.9573
1616.5     1360.5407
1617.5     1360.4148
1618.5     1360.4042
1619.5     1360.4943
1620.5     1360.4904
1621.5     1360.4866
1622.5     1360.4827
1623.5     1360.4789
1624.5     1360.4380
1625.5     1360.6562
1626.5     1360.5450
1627.5     1360.4677
1628.5     1360.4777
1629.5     1360.4181
1630.5     1360.2687
1631.5     1360.2774
1632.5     1360.2442
1633.5     1360.3417
1634.5     1360.2621
1635.5     1360.2670
1636.5     1360.2339
1637.5     1360.2305
1638.5     1360.6969
1639.5     1360.7500
1640.5     1360.3195
1641.5     1360.2074
1642.5     1360.5265
1643.5     1360.3083
1644.5     1360.2531
1645.5     1360.1713
1646.5     1360.1708
1647.5     1360.1702
1648.5     1360.1683
1649.5     1360.1658
1650.5     1360.1648
1651.5     1360.1642
1652.5     1360.1916
1653.5     1360.1698
1654.5     1360.1617
1655.5     1360.1519
1656.5     1360.1508
1657.5     1360.1458
1658.5     1360.1404
1659.5     1360.1384
1660.5     1360.1518
1661.5     1360.1437
1662.5     1360.1384
1663.5     1360.1384
1664.5     1360.1385
1665.5     1360.1386
1666.5     1360.1386
1667.5     1360.1384
1668.5     1360.1381
1669.5     1360.1381
1670.5     1360.1381
1671.5     1360.1442
1672.5     1360.1407
1673.5     1360.1381
1674.5     1360.1394
1675.5     1360.1379
1676.5     1360.1498
1677.5     1360.1393
1678.5     1360.1387
1679.5     1360.1374
1680.5     1360.1429
1681.5     1360.1374
1682.5     1360.1374
1683.5     1360.1374
1684.5     1360.1470
1685.5     1360.1376
1686.5     1360.1418
1687.5     1360.1385
1688.5     1360.1418
1689.5     1360.1405
1690.5     1360.1402
1691.5     1360.1416
1692.5     1360.1431
1693.5     1360.1436
1694.5     1360.1438
1695.5     1360.1445
1696.5     1360.1437
1697.5     1360.1437
1698.5     1360.1438
1699.5     1360.1443
1700.5     1360.1475
1701.5     1360.1495
1702.5     1360.1525
1703.5     1360.1703
1704.5     1360.1853
1705.5     1360.2011
1706.5     1360.1896
1707.5     1360.2061
1708.5     1360.1917
1709.5     1360.1873
1710.5     1360.1893
1711.5     1360.1998
1712.5     1360.2057
1713.5     1360.2122
1714.5     1360.2282
1715.5     1360.2553
1716.5     1360.2953
1717.5     1360.3553
1718.5     1360.2966
1719.5     1360.4688
1720.5     1360.4118
1721.5     1360.4139
1722.5     1360.3468
1723.5     1360.3096
1724.5     1360.3940
1725.5     1360.3833
1726.5     1360.5533
1727.5     1360.5586
1728.5     1360.7496
1729.5     1360.4738
1730.5     1360.7864
1731.5     1360.3071
1732.5     1360.4349
1733.5     1360.3243
1734.5     1360.3345
1735.5     1360.4645
1736.5     1360.6745
1737.5     1360.5086
1738.5     1360.4629
1739.5     1360.7054
1740.5     1360.4070
1741.5     1360.7366
1742.5     1360.4506
1743.5     1360.3957
1744.5     1360.3396
1745.5     1360.3423
1746.5     1360.3482
1747.5     1360.3564
1748.5     1360.7807
1749.5     1360.8008
1750.5     1360.7644
1751.5     1360.5939
1752.5     1360.5661
1753.5     1360.5479
1754.5     1360.4610
1755.5     1360.4479
1756.5     1360.4760
1757.5     1360.5993
1758.5     1360.7126
1759.5     1360.7760
1760.5     1360.7513
1761.5     1360.9157
1762.5     1360.7773
1763.5     1360.7070
1764.5     1360.6832
1765.5     1360.5324
1766.5     1360.5018
1767.5     1360.7076
1768.5     1360.9605
1769.5     1361.1453
1770.5     1361.1479
1771.5     1361.0414
1772.5     1360.9692
1773.5     1360.7502
1774.5     1360.7121
1775.5     1360.5752
1776.5     1360.6298
1777.5     1360.7915
1778.5     1361.0214
1779.5     1361.0793
1780.5     1360.9012
1781.5     1361.0127
1782.5     1360.7476
1783.5     1360.6543
1784.5     1360.5225
1785.5     1360.5817
1786.5     1360.8941
1787.5     1361.0596
1788.5     1361.0060
1789.5     1360.9854
1790.5     1360.8863
1791.5     1360.7360
1792.5     1360.7220
1793.5     1360.7015
1794.5     1360.6075
1795.5     1360.4904
1796.5     1360.4607
1797.5     1360.4076
1798.5     1360.3826
1799.5     1360.3888
1800.5     1360.4294
1801.5     1360.7016
1802.5     1360.5800
1803.5     1360.4477
1804.5     1360.4516
1805.5     1360.4620
1806.5     1360.3644
1807.5     1360.2969
1808.5     1360.2717
1809.5     1360.2439
1810.5     1360.2353
1811.5     1360.2481
1812.5     1360.2890
1813.5     1360.3376
1814.5     1360.3614
1815.5     1360.4165
1816.5     1360.5125
1817.5     1360.4859
1818.5     1360.4378
1819.5     1360.4227
1820.5     1360.3669
1821.5     1360.3453
1822.5     1360.3691
1823.5     1360.3742
1824.5     1360.4152
1825.5     1360.4886
1826.5     1360.5918
1827.5     1360.7030
1828.5     1360.7905
1829.5     1360.8084
1830.5     1360.8494
1831.5     1360.6844
1832.5     1360.5824
1833.5     1360.4871
1834.5     1360.5225
1835.5     1360.7836
1836.5     1361.1652
1837.5     1361.2386
1838.5     1361.0256
1839.5     1360.9433
1840.5     1360.8266
1841.5     1360.6749
1842.5     1360.6199
1843.5     1360.5496
1844.5     1360.5802
1845.5     1360.7079
