"Time","Internet traffic data (in bits) from an ISP. Aggregated traffic in the United Kingdom academic network backbone. It was collected between 19 November 2004, at 09:30 hours and 27 January 2005, at 11:11 hours. Hourly data"
"2004-11-19 09:30:00",64554.4788493508
"2004-11-19 10:30:00",71138.7492385722
"2004-11-19 11:30:00",77253.2663003328
"2004-11-19 12:30:00",77340.779502806
"2004-11-19 13:30:00",79860.7594145648
"2004-11-19 14:30:00",81103.4079079732
"2004-11-19 15:30:00",75227.5597899524
"2004-11-19 16:30:00",66933.3237610039
"2004-11-19 17:30:00",59458.3178403242
"2004-11-19 18:30:00",55028.9677333866
"2004-11-19 19:30:00",52930.8706124631
"2004-11-19 20:30:00",50795
"2004-11-19 21:30:00",47474.4641032802
"2004-11-19 22:30:00",45387.152330033
"2004-11-19 23:30:00",48597.6925306475
"2004-11-20 00:30:00",48590.2824187022
"2004-11-20 01:30:00",45276.8570390678
"2004-11-20 02:30:00",42160.2609785557
"2004-11-20 03:30:00",38284.1260982288
"2004-11-20 04:30:00",34675.4960139624
"2004-11-20 05:30:00",32918.1204838285
"2004-11-20 06:30:00",32352.3297912301
"2004-11-20 07:30:00",31597
"2004-11-20 08:30:00",33643.6556044542
"2004-11-20 09:30:00",37522.8941603143
"2004-11-20 10:30:00",41738.5827190322
"2004-11-20 11:30:00",44282.8853347827
"2004-11-20 12:30:00",43803.9648781376
"2004-11-20 13:30:00",46397.1522299121
"2004-11-20 14:30:00",49180.181431642
"2004-11-20 15:30:00",50711.8211323705
"2004-11-20 16:30:00",49087.5887543038
"2004-11-20 17:30:00",47360.9909058473
"2004-11-20 18:30:00",47937.2452292828
"2004-11-20 19:30:00",47312.6990259984
"2004-11-20 20:30:00",46389.854719599
"2004-11-20 21:30:00",44270.4422871902
"2004-11-20 22:30:00",42606.6486894755
"2004-11-20 23:30:00",40838.8006072861
"2004-11-21 00:30:00",39294.2846323815
"2004-11-21 01:30:00",37190.9867200458
"2004-11-21 02:30:00",37542.9262959261
"2004-11-21 03:30:00",35328.499586338
"2004-11-21 04:30:00",26617.1639697674
"2004-11-21 05:30:00",22759.6921743584
"2004-11-21 06:30:00",23044.7779988072
"2004-11-21 07:30:00",22618.1169803109
"2004-11-21 08:30:00",24095.5872308525
"2004-11-21 09:30:00",26096
"2004-11-21 10:30:00",28981.9280384733
"2004-11-21 11:30:00",33023
"2004-11-21 12:30:00",37690.5144110885
"2004-11-21 13:30:00",42192.5305449642
"2004-11-21 14:30:00",47105.17924708
"2004-11-21 15:30:00",52032.4168674926
"2004-11-21 16:30:00",65306.7169382384
"2004-11-21 17:30:00",70662
"2004-11-21 18:30:00",71307.9915509614
"2004-11-21 19:30:00",72310.8562854596
"2004-11-21 20:30:00",72280
"2004-11-21 21:30:00",70801
"2004-11-21 22:30:00",69972.8127959347
"2004-11-21 23:30:00",67289.2818406283
"2004-11-22 00:30:00",61491.5121156741
"2004-11-22 01:30:00",55463.3240937735
"2004-11-22 02:30:00",49658.1331778494
"2004-11-22 03:30:00",45066.4971993558
"2004-11-22 04:30:00",39938.6155798982
"2004-11-22 05:30:00",37518.3266564391
"2004-11-22 06:30:00",37667.3384486991
"2004-11-22 07:30:00",41410.3843907621
"2004-11-22 08:30:00",59453.5668156798
"2004-11-22 09:30:00",85732.7072161868
"2004-11-22 10:30:00",99485.7143843862
"2004-11-22 11:30:00",109657.701043999
"2004-11-22 12:30:00",113513.695837308
"2004-11-22 13:30:00",122772.135148349
"2004-11-22 14:30:00",122664.462640075
"2004-11-22 15:30:00",120957.81983809
"2004-11-22 16:30:00",112710.781970147
"2004-11-22 17:30:00",102011.78028786
"2004-11-22 18:30:00",93463.7023070212
"2004-11-22 19:30:00",89273.093146628
"2004-11-22 20:30:00",84388.795132021
"2004-11-22 21:30:00",81028.2343840556
"2004-11-22 22:30:00",79151.7560166647
"2004-11-22 23:30:00",75475.1266410095
"2004-11-23 00:30:00",69695.122391044
"2004-11-23 01:30:00",61426.1734538956
"2004-11-23 02:30:00",55148.9674202428
"2004-11-23 03:30:00",49963.177798291
"2004-11-23 04:30:00",46288.3036526674
"2004-11-23 05:30:00",43460.8238025103
"2004-11-23 06:30:00",43872
"2004-11-23 07:30:00",46920.2450208423
"2004-11-23 08:30:00",64800.1543928768
"2004-11-23 09:30:00",90777.8683952145
"2004-11-23 10:30:00",102356.462495194
"2004-11-23 11:30:00",113912.899286329
"2004-11-23 12:30:00",119409.565215622
"2004-11-23 13:30:00",125058.789943813
"2004-11-23 14:30:00",122651.868957249
"2004-11-23 15:30:00",119779.180293671
"2004-11-23 16:30:00",107937.658188249
"2004-11-23 17:30:00",96320.5037770286
"2004-11-23 18:30:00",89288.672983597
"2004-11-23 19:30:00",84061.54042998
"2004-11-23 20:30:00",82382.836084646
"2004-11-23 21:30:00",78535.6436786175
"2004-11-23 22:30:00",80190
"2004-11-23 23:30:00",77015.4762353587
"2004-11-24 00:30:00",72030.65105957
"2004-11-24 01:30:00",67312.9149814917
"2004-11-24 02:30:00",60855.2818305274
"2004-11-24 03:30:00",55619.245674991
"2004-11-24 04:30:00",50997.3825420973
"2004-11-24 05:30:00",47565.9284036667
"2004-11-24 06:30:00",45270.1629059697
"2004-11-24 07:30:00",48382.9994023483
"2004-11-24 08:30:00",64916.4161658284
"2004-11-24 09:30:00",91055.5290636453
"2004-11-24 10:30:00",102021.362500691
"2004-11-24 11:30:00",101453
"2004-11-24 12:30:00",102830.48257872
"2004-11-24 13:30:00",119116.36431882
"2004-11-24 14:30:00",106297.849483359
"2004-11-24 15:30:00",81473.4159360977
"2004-11-24 16:30:00",75003.650188884
"2004-11-24 17:30:00",67270.8986622572
"2004-11-24 18:30:00",61745.1897520605
"2004-11-24 19:30:00",60069.5442932234
"2004-11-24 20:30:00",55082.1360437313
"2004-11-24 21:30:00",53785.1515013139
"2004-11-24 22:30:00",51820.4891250403
"2004-11-24 23:30:00",49220.7865013859
"2004-11-25 00:30:00",45354.1311339281
"2004-11-25 01:30:00",38464.3886517659
"2004-11-25 02:30:00",34335
"2004-11-25 03:30:00",31852.5822210321
"2004-11-25 04:30:00",28444.1230951098
"2004-11-25 05:30:00",27960.3474986878
"2004-11-25 06:30:00",29380.716949261
"2004-11-25 07:30:00",32337.9821557954
"2004-11-25 08:30:00",44782.6565744768
"2004-11-25 09:30:00",65160
"2004-11-25 10:30:00",74067.2744526768
"2004-11-25 11:30:00",80437.905296105
"2004-11-25 12:30:00",80415.565453178
"2004-11-25 13:30:00",83413.1317238492
"2004-11-25 14:30:00",84793.3985935452
"2004-11-25 15:30:00",81314.9954023768
"2004-11-25 16:30:00",73975.3397809235
"2004-11-25 17:30:00",66554.9830548406
"2004-11-25 18:30:00",61711.488546166
"2004-11-25 19:30:00",58145.5475866939
"2004-11-25 20:30:00",53628.7497932486
"2004-11-25 21:30:00",51279.1960376266
"2004-11-25 22:30:00",48923.3570543946
