"Time","Internet traffic data (in bits) from a private ISP with centres in 11 European cities. The data corresponds to a transatlantic link and was collected from 06:57 hours on 7 June to 11:17 hours on 31 July 2005. Hourly data."
"2005-06-07 07:00:00",56718587433
"2005-06-07 08:00:00",76456162968
"2005-06-07 09:00:00",82534038485
"2005-06-07 10:00:00",88796995092
"2005-06-07 11:00:00",90247922345
"2005-06-07 12:00:00",90146117117
"2005-06-07 13:00:00",90457410673
"2005-06-07 14:00:00",89967660859
"2005-06-07 15:00:00",87211742250
"2005-06-07 16:00:00",73610634839
"2005-06-07 17:00:00",56695326238
"2005-06-07 18:00:00",48110601866
"2005-06-07 19:00:00",44406878766
"2005-06-07 20:00:00",43050199070
"2005-06-07 21:00:00",36961508495
"2005-06-07 22:00:00",31555022712
"2005-06-07 23:00:00",27467342825
"2005-06-08 00:00:00",25041832565
"2005-06-08 01:00:00",21160963384
"2005-06-08 02:00:00",19820358830
"2005-06-08 03:00:00",19088172849
"2005-06-08 04:00:00",23204098006
"2005-06-08 05:00:00",26290215100
"2005-06-08 06:00:00",42380697686
"2005-06-08 07:00:00",70062696507
"2005-06-08 08:00:00",80545779973
"2005-06-08 09:00:00",92844295517
"2005-06-08 10:00:00",96880965179
"2005-06-08 11:00:00",90932927706
"2005-06-08 12:00:00",91291134373
"2005-06-08 13:00:00",91713661478
"2005-06-08 14:00:00",90959467260
"2005-06-08 15:00:00",79385942062
"2005-06-08 16:00:00",62489604464
"2005-06-08 17:00:00",56243244765
"2005-06-08 18:00:00",50040519394
"2005-06-08 19:00:00",46874882633
"2005-06-08 20:00:00",41135776475
"2005-06-08 21:00:00",33502564447
"2005-06-08 22:00:00",28113068984
"2005-06-08 23:00:00",24938212968
"2005-06-09 00:00:00",21893717932
"2005-06-09 01:00:00",20344443618
"2005-06-09 02:00:00",19757922807
"2005-06-09 03:00:00",19588672617
"2005-06-09 04:00:00",21350728448
"2005-06-09 05:00:00",34965445638
"2005-06-09 06:00:00",58397356904
"2005-06-09 07:00:00",79198224742
"2005-06-09 08:00:00",89726734078
"2005-06-09 09:00:00",92701958472
"2005-06-09 10:00:00",89941544749
"2005-06-09 11:00:00",93225272251
"2005-06-09 12:00:00",93840519305
"2005-06-09 13:00:00",91765453742
"2005-06-09 14:00:00",84996841280
"2005-06-09 15:00:00",70779170417
"2005-06-09 16:00:00",53526087319
"2005-06-09 17:00:00",46784929778
"2005-06-09 18:00:00",44815865828
"2005-06-09 19:00:00",43427241554
"2005-06-09 20:00:00",35995811572
"2005-06-09 21:00:00",29517833610
"2005-06-09 22:00:00",25972915242
"2005-06-09 23:00:00",22076654385
"2005-06-10 00:00:00",18612412211
"2005-06-10 01:00:00",17578929475
"2005-06-10 02:00:00",17890609373
"2005-06-10 03:00:00",19914942830
"2005-06-10 04:00:00",24541346137
"2005-06-10 05:00:00",41746859874
"2005-06-10 06:00:00",68945777025
"2005-06-10 07:00:00",83169448382
"2005-06-10 08:00:00",86786075089
"2005-06-10 09:00:00",89042055096
"2005-06-10 10:00:00",86097518435
"2005-06-10 11:00:00",88060769558
"2005-06-10 12:00:00",82790015630
"2005-06-10 13:00:00",77013585468
"2005-06-10 14:00:00",69808192637
"2005-06-10 15:00:00",54702484989
"2005-06-10 16:00:00",44434741117
"2005-06-10 17:00:00",41097148377
"2005-06-10 18:00:00",39589080464
"2005-06-10 19:00:00",38201899367
"2005-06-10 20:00:00",32410734851
"2005-06-10 21:00:00",28470110617
"2005-06-10 22:00:00",24499437605
"2005-06-10 23:00:00",21541009914
"2005-06-11 00:00:00",19911908989
"2005-06-11 01:00:00",19004052140
"2005-06-11 02:00:00",18433033394
"2005-06-11 03:00:00",18084021621
"2005-06-11 04:00:00",18353670284
"2005-06-11 05:00:00",20552677072
"2005-06-11 06:00:00",24742386908
"2005-06-11 07:00:00",29869136393
"2005-06-11 08:00:00",32991125146
"2005-06-11 09:00:00",35455444894
"2005-06-11 10:00:00",34495523400
"2005-06-11 11:00:00",36632467202
