"Year","Mean annual temperature (in deg. C), 1781 ? 1988"
"1781",9.04
"1782",7.01
"1783",8.45
"1784",6.56
"1785",5.94
"1786",6.76
"1787",8.12
"1788",7.74
"1789",7.87
"1790",8.42
"1791",8.71
"1792",8.02
"1793",8.67
"1794",9.71
"1795",8.39
"1796",8.19
"1797",9.21
"1798",8.25
"1799",7.03
"1800",8.65
"1801",9.15
"1802",7.88
"1803",7.39
"1804",8.08
"1805",6.26
"1806",8.94
"1807",9.01
"1808",7.45
"1809",8.28
"1810",8.21
"1811",9.65
"1812",7.42
"1813",7.06
"1814",6.68
"1815",7.63
"1816",6.81
"1817",7.74
"1818",8.01
"1819",8.49
"1820",6.96
"1821",8.11
"1822",9.16
"1823",7.89
"1824",8.45
"1825",8.38
"1826",7.78
"1827",8.11
"1828",8.27
"1829",5.89
"1830",7.32
"1831",8.15
"1832",7.51
"1833",7.93
"1834",9.17
"1835",7.09
"1836",7.84
"1837",7.09
"1838",6.26
"1839",7.86
"1840",6.88
"1841",8.59
"1842",7.04
"1843",7.79
"1844",7.18
"1845",6.99
"1846",9.31
"1847",7.7
"1848",7.97
"1849",7.58
"1850",7.37
"1851",6.94
"1852",8.4
"1853",6.81
"1854",7.36
"1855",6.92
"1856",7.78
"1857",7.86
"1858",6.8
"1859",8.45
"1860",6.91
"1861",7.82
"1862",9.43
"1863",8.85
"1864",6.13
"1865",8.27
"1866",8.87
"1867",7.16
"1868",8.42
"1869",7.3
"1870",6.02
"1871",6.03
"1872",8.38
"1873",8.17
"1874",7.39
"1875",7.09
"1876",7.74
"1877",7.81
"1878",7.18
"1879",6.02
"1880",7.71
"1881",7.14
"1882",7.59
"1883",7.16
"1884",7.68
"1885",7.21
"1886",7.51
"1887",6.19
"1888",6.55
"1889",6.64
"1890",6.56
"1891",6.64
"1892",7.32
"1893",7.42
"1894",7.51
"1895",6.96
"1896",6.85
"1897",7.58
"1898",8.29
"1899",8.12
"1900",8.34
"1901",7.27
"1902",7.34
"1903",8.02
"1904",8.37
"1905",7.33
"1906",7.49
"1907",7.4
"1908",6.67
"1909",6.72
"1910",7.52
"1911",8.47
"1912",7.32
"1913",7.99
"1914",7.83
"1915",7.67
"1916",8.17
"1917",7.14
"1918",8.1
"1919",7.17
"1920",8.34
"1921",8.8
"1922",7.13
"1923",8.16
"1924",6.85
"1925",7.76
"1926",8.38
"1927",7.88
"1928",8.38
"1929",6.93
"1930",8.26
"1931",6.78
"1932",7.63
"1933",6.72
"1934",8.75
"1935",7.93
"1936",7.92
"1937",8.5
"1938",8
"1939",7.71
"1940",6.61
"1941",6.98
"1942",7.35
"1943",8.89
"1944",7.73
"1945",8.18
"1946",8.1
"1947",8.66
"1948",8.6
"1949",8.71
"1950",8.81
"1951",8.47
"1952",8.1
"1953",8.35
"1954",7.41
"1955",7.36
"1956",6.61
"1957",8.18
"1958",8.08
"1959",8.58
"1960",8.2
"1961",8.94
"1962",7.22
"1963",7.11
"1964",8.04
"1965",7.26
"1966",8.51
"1967",8.66
"1968",7.93
"1969",7.57
"1970",7.52
"1971",7.67
"1972",7.24
"1973",7.55
"1974",8.54
"1975",8.16
"1976",7.84
"1977",8.48
"1978",7.3
"1979",7.93
"1980",7.29
"1981",8.05
"1982",8.32
"1983",8.5
"1984",7.28
"1985",7.15
"1986",7.71
"1987",7.48
"1988",8.93

Mean annual temperature (in deg. C), 1781 ? 1988

