"Month","Monthly average daily calls to directory assistance Jan.?62 ? Dec?76"
"1962-01",350
"1962-02",339
"1962-03",351
"1962-04",364
"1962-05",369
"1962-06",331
"1962-07",331
"1962-08",340
"1962-09",346
"1962-10",341
"1962-11",357
"1962-12",398
"1963-01",381
"1963-02",367
"1963-03",383
"1963-04",375
"1963-05",353
"1963-06",361
"1963-07",375
"1963-08",371
"1963-09",373
"1963-10",366
"1963-11",382
"1963-12",429
"1964-01",406
"1964-02",403
"1964-03",429
"1964-04",425
"1964-05",427
"1964-06",409
"1964-07",402
"1964-08",409
"1964-09",419
"1964-10",404
"1964-11",429
"1964-12",463
"1965-01",428
"1965-02",449
"1965-03",444
"1965-04",467
"1965-05",474
"1965-06",463
"1965-07",432
"1965-08",453
"1965-09",462
"1965-10",456
"1965-11",474
"1965-12",514
"1966-01",489
"1966-02",475
"1966-03",492
"1966-04",525
"1966-05",527
"1966-06",533
"1966-07",527
"1966-08",522
"1966-09",526
"1966-10",513
"1966-11",564
"1966-12",599
"1967-01",572
"1967-02",587
"1967-03",599
"1967-04",601
"1967-05",611
"1967-06",620
"1967-07",579
"1967-08",582
"1967-09",592
"1967-10",581
"1967-11",630
"1967-12",663
"1968-01",638
"1968-02",631
"1968-03",645
"1968-04",682
"1968-05",601
"1968-06",595
"1968-07",521
"1968-08",521
"1968-09",516
"1968-10",496
"1968-11",538
"1968-12",575
"1969-01",537
"1969-02",534
"1969-03",542
"1969-04",538
"1969-05",547
"1969-06",540
"1969-07",526
"1969-08",548
"1969-09",555
"1969-10",545
"1969-11",594
"1969-12",643
"1970-01",625
"1970-02",616
"1970-03",640
"1970-04",625
"1970-05",637
"1970-06",634
"1970-07",621
"1970-08",641
"1970-09",654
"1970-10",649
"1970-11",662
"1970-12",699
"1971-01",672
"1971-02",704
"1971-03",700
"1971-04",711
"1971-05",715
"1971-06",718
"1971-07",652
"1971-08",664
"1971-09",695
"1971-10",704
"1971-11",733
"1971-12",772
"1972-01",716
"1972-02",712
"1972-03",732
"1972-04",755
"1972-05",761
"1972-06",748
"1972-07",748
"1972-08",750
"1972-09",744
"1972-10",731
"1972-11",782
"1972-12",810
"1973-01",777
"1973-02",816
"1973-03",840
"1973-04",868
"1973-05",872
"1973-06",811
"1973-07",810
"1973-08",762
"1973-09",634
"1973-10",626
"1973-11",649
"1973-12",697
"1974-01",657
"1974-02",549
"1974-03",162
"1974-04",177
"1974-05",175
"1974-06",162
"1974-07",161
"1974-08",165
"1974-09",170
"1974-10",172
"1974-11",178
"1974-12",186
"1975-01",178
"1975-02",178
"1975-03",189
"1975-04",205
"1975-05",202
"1975-06",185
"1975-07",193
"1975-08",200
"1975-09",196
"1975-10",204
"1975-11",206
"1975-12",227
"1976-01",225
"1976-02",217
"1976-03",219
"1976-04",236
"1976-05",253
"1976-06",213
"1976-07",205
"1976-08",210
"1976-09",216
"1976-10",218
"1976-11",235
"1976-12",241

Monthly average daily calls to directory assistance Jan.?62 ? Dec?76

