"Month","Monthly Canadian total unemployment figures (thousands) 1956-1975"
"1956-01",315
"1956-02",340
"1956-03",321
"1956-04",273
"1956-05",175
"1956-06",127
"1956-07",112
"1956-08",116
"1956-09",116
"1956-10",110
"1956-11",149
"1956-12",211
"1957-01",328
"1957-02",352
"1957-03",378
"1957-04",334
"1957-05",209
"1957-06",177
"1957-07",181
"1957-08",194
"1957-09",214
"1957-10",223
"1957-11",318
"1957-12",422
"1958-01",579
"1958-02",600
"1958-03",638
"1958-04",553
"1958-05",388
"1958-06",339
"1958-07",310
"1958-08",317
"1958-09",284
"1958-10",328
"1958-11",378
"1958-12",466
"1959-01",577
"1959-02",570
"1959-03",553
"1959-04",466
"1959-05",354
"1959-06",248
"1959-07",239
"1959-08",257
"1959-09",224
"1959-10",250
"1959-11",316
"1959-12",405
"1960-01",546
"1960-02",597
"1960-03",607
"1960-04",550
"1960-05",417
"1960-06",313
"1960-07",328
"1960-08",350
"1960-09",325
"1960-10",366
"1960-11",426
"1960-12",525
"1961-01",690
"1961-02",716
"1961-03",702
"1961-04",619
"1961-05",454
"1961-06",367
"1961-07",351
"1961-08",320
"1961-09",305
"1961-10",315
"1961-11",347
"1961-12",411
"1962-01",543
"1962-02",582
"1962-03",559
"1962-04",484
"1962-05",335
"1962-06",300
"1962-07",307
"1962-08",279
"1962-09",259
"1962-10",282
"1962-11",342
"1962-12",414
"1963-01",541
"1963-02",546
"1963-03",550
"1963-04",463
"1963-05",347
"1963-06",305
"1963-07",294
"1963-08",271
"1963-09",251
"1963-10",266
"1963-11",303
"1963-12",346
"1964-01",466
"1964-02",467
"1964-03",456
"1964-04",403
"1964-05",293
"1964-06",282
"1964-07",265
"1964-08",246
"1964-09",217
"1964-10",257
"1964-11",257
"1964-12",284
"1965-01",407
"1965-02",397
"1965-03",387
"1965-04",371
"1965-05",265
"1965-06",257
"1965-07",244
"1965-08",211
"1965-09",176
"1965-10",171
"1965-11",220
"1965-12",252
"1966-01",359
"1966-02",356
"1966-03",341
"1966-04",298
"1966-05",247
"1966-06",230
"1966-07",244
"1966-08",228
"1966-09",205
"1966-10",195
"1966-11",238
"1966-12",266
"1967-01",381
"1967-02",396
"1967-03",400
"1967-04",365
"1967-05",304
"1967-06",292
"1967-07",284
"1967-08",247
"1967-09",219
"1967-10",254
"1967-11",289
"1967-12",353
"1968-01",464
"1968-02",482
"1968-03",488
"1968-04",436
"1968-05",366
"1968-06",395
"1968-07",371
"1968-08",319
"1968-09",262
"1968-10",288
"1968-11",338
"1968-12",373
"1969-01",467
"1969-02",473
"1969-03",448
"1969-04",432
"1969-05",386
"1969-06",383
"1969-07",349
"1969-08",318
"1969-09",279
"1969-10",314
"1969-11",354
"1969-12",383
"1970-01",485
"1970-02",526
"1970-03",542
"1970-04",544
"1970-05",513
"1970-06",529
"1970-07",518
"1970-08",448
"1970-09",398
"1970-10",419
"1970-11",476
"1970-12",538
"1971-01",668
"1971-02",675
"1971-03",650
"1971-04",659
"1971-05",543
"1971-06",551
"1971-07",514
"1971-08",455
"1971-09",434
"1971-10",447
"1971-11",503
"1971-12",530
"1972-01",665
"1972-02",627
"1972-03",642
"1972-04",592
"1972-05",552
"1972-06",568
"1972-07",543
"1972-08",503
"1972-09",459
"1972-10",483
"1972-11",524
"1972-12",584
"1973-01",688
"1973-02",655
"1973-03",608
"1973-04",570
"1973-05",493
"1973-06",503
"1973-07",461
"1973-08",433
"1973-09",421
"1973-10",429
"1973-11",468
"1973-12",512
"1974-01",637
"1974-02",635
"1974-03",599
"1974-04",568
"1974-05",524
"1974-06",469
"1974-07",465
"1974-08",447
"1974-09",431
"1974-10",430
"1974-11",493
"1974-12",597
"1975-01",817
"1975-02",839
"1975-03",840
"1975-04",795
"1975-05",714
"1975-06",704
"1975-07",653
"1975-08",623
"1975-09",586
"1975-10",576
"1975-11",640
"1975-12",697

Monthly Canadian total unemployment figures (thousands) 1956-1975

