"Month","Monthly critical radio frequencies in Washington, D.C., May 1934 ? April 1954. These frequencies reflect the highest radio frequency that can be used for broadcasting"
"1934-05",5.4
"1934-06",5.4
"1934-07",5.1
"1934-08",4.8
"1934-09",5.5
"1934-10",6.1
"1934-11",6.4
"1934-12",6.8
"1935-01",6.4
"1935-02",6
"1935-03",6.1
"1935-04",6.1
"1935-05",5.3
"1935-06",5.5
"1935-07",5.7
"1935-08",5
"1935-09",5.8
"1935-10",9
"1935-11",10.4
"1935-12",9.9
"1936-01",10.7
"1936-02",9.7
"1936-03",8.8
"1936-04",8.1
"1936-05",8.4
"1936-06",6.4
"1936-07",6.7
"1936-08",7.4
"1936-09",9.1
"1936-10",11.9
"1936-11",12.5
"1936-12",11.8
"1937-01",11.1
"1937-02",13.1
"1937-03",12.3
"1937-04",9.7
"1937-05",7.7
"1937-06",7.6
"1937-07",8.1
"1937-08",8.9
"1937-09",10.4
"1937-10",13
"1937-11",13.2
"1937-12",12.3
"1938-01",11.5
"1938-02",12.8
"1938-03",12.2
"1938-04",10
"1938-05",8.1
"1938-06",7.3
"1938-07",7.4
"1938-08",7.9
"1938-09",9.6
"1938-10",12.1
"1938-11",13.1
"1938-12",12.4
"1939-01",11.1
"1939-02",11.7
"1939-03",10.3
"1939-04",9.3
"1939-05",8
"1939-06",7.4
"1939-07",6.9
"1939-08",7.6
"1939-09",8.9
"1939-10",12.2
"1939-11",11.4
"1939-12",10.3
"1940-01",9.5
"1940-02",9.6
"1940-03",9.8
"1940-04",8.4
"1940-05",7.4
"1940-06",6.7
"1940-07",6.4
"1940-08",7.1
"1940-09",9.2
"1940-10",10.7
"1940-11",10.6
"1940-12",9.3
"1941-01",9
"1941-02",8.9
"1941-03",8.1
"1941-04",7.2
"1941-05",5.7
"1941-06",5.8
"1941-07",5.8
"1941-08",6.2
"1941-09",6.9
"1941-10",9.1
"1941-11",9
"1941-12",8.7
"1942-01",8
"1942-02",7.8
"1942-03",8.7
"1942-04",7.4
"1942-05",6.1
"1942-06",5.3
"1942-07",4.9
"1942-08",5.1
"1942-09",6
"1942-10",7.4
"1942-11",7.5
"1942-12",7
"1943-01",6.4
"1943-02",6.6
"1943-03",6.2
"1943-04",5.6
"1943-05",5.1
"1943-06",5.2
"1943-07",5.2
"1943-08",4.8
"1943-09",5.2
"1943-10",6
"1943-11",6.6
"1943-12",7.1
"1944-01",6.4
"1944-02",6
"1944-03",5.9
"1944-04",5.2
"1944-05",4.9
"1944-06",4.7
"1944-07",4.7
"1944-08",5
"1944-09",5.6
"1944-10",7
"1944-11",6.6
"1944-12",7.1
"1945-01",6.5
"1945-02",6.6
"1945-03",6.2
"1945-04",6.3
"1945-05",5.7
"1945-06",5.8
"1945-07",5.5
"1945-08",5.7
"1945-09",6.4
"1945-10",9.3
"1945-11",9.3
"1945-12",8.6
"1946-01",7.7
"1946-02",9.4
"1946-03",9.7
"1946-04",9.2
"1946-05",6.2
"1946-06",6.3
"1946-07",6.1
"1946-08",7.2
"1946-09",8.6
"1946-10",11.5
"1946-11",12.2
"1946-12",12
"1947-01",12
"1947-02",13
"1947-03",12.5
"1947-04",11.2
"1947-05",10
"1947-06",6.9
"1947-07",7.1
"1947-08",7.7
"1947-09",10.6
"1947-10",13
"1947-11",13.5
"1947-12",12.6
"1948-01",12.3
"1948-02",11.3
"1948-03",11.2
"1948-04",10.8
"1948-05",8.2
"1948-06",7.6
"1948-07",7.1
"1948-08",6.8
"1948-09",9.2
"1948-10",11.5
"1948-11",12.4
"1948-12",11.7
"1949-01",12.1
"1949-02",12.5
"1949-03",12.5
"1949-04",10.6
"1949-05",8.3
"1949-06",7
"1949-07",7.1
"1949-08",7.8
"1949-09",10.1
"1949-10",12.6
"1949-11",13.1
"1949-12",12
"1950-01",11.3
"1950-02",11
"1950-03",10.5
"1950-04",8.8
"1950-05",7.2
"1950-06",6.8
"1950-07",6
"1950-08",6.1
"1950-09",7
"1950-10",9.2
"1950-11",9
"1950-12",8.6
"1951-01",8.4
"1951-02",8.7
"1951-03",7.8
"1951-04",6.3
"1951-05",6.1
"1951-06",6
"1951-07",5.6
"1951-08",5.8
"1951-09",7
"1951-10",8.6
"1951-11",9.2
"1951-12",8.8
"1952-01",8
"1952-02",7.5
"1952-03",6.5
"1952-04",5.5
"1952-05",4.8
"1952-06",5.2
"1952-07",5
"1952-08",5.3
"1952-09",6
"1952-10",7.2
"1952-11",7.6
"1952-12",7.3
"1953-01",6.4
"1953-02",6.2
"1953-03",5.2
"1953-04",5.2
"1953-05",4.8
"1953-06",4.8
"1953-07",4.3
"1953-08",4.7
"1953-09",6
"1953-10",6.2
"1953-11",6.5
"1953-12",6.3
"1954-01",5.9
"1954-02",5.7
"1954-03",5.5
"1954-04",5

Monthly critical radio frequencies in Washington, D.C., May 1934 ? April 1954. These frequencies reflect the highest radio frequency that can be used for broadcasting

