"Month","Monthly electricity production in Australia: million kilowatt hours. Jan 1956 ? Aug 1995"
"1956-01",1254
"1956-02",1290
"1956-03",1379
"1956-04",1346
"1956-05",1535
"1956-06",1555
"1956-07",1655
"1956-08",1651
"1956-09",1500
"1956-10",1538
"1956-11",1486
"1956-12",1394
"1957-01",1409
"1957-02",1387
"1957-03",1543
"1957-04",1502
"1957-05",1693
"1957-06",1616
"1957-07",1841
"1957-08",1787
"1957-09",1631
"1957-10",1649
"1957-11",1586
"1957-12",1500
"1958-01",1497
"1958-02",1463
"1958-03",1648
"1958-04",1595
"1958-05",1777
"1958-06",1824
"1958-07",1994
"1958-08",1835
"1958-09",1787
"1958-10",1699
"1958-11",1633
"1958-12",1645
"1959-01",1597
"1959-02",1577
"1959-03",1709
"1959-04",1756
"1959-05",1936
"1959-06",2052
"1959-07",2105
"1959-08",2016
"1959-09",1914
"1959-10",1925
"1959-11",1824
"1959-12",1765
"1960-01",1721
"1960-02",1752
"1960-03",1914
"1960-04",1857
"1960-05",2159
"1960-06",2195
"1960-07",2287
"1960-08",2276
"1960-09",2096
"1960-10",2055
"1960-11",2004
"1960-12",1924
"1961-01",1851
"1961-02",1839
"1961-03",2019
"1961-04",1937
"1961-05",2270
"1961-06",2251
"1961-07",2382
"1961-08",2364
"1961-09",2129
"1961-10",2110
"1961-11",2072
"1961-12",1980
"1962-01",1995
"1962-02",1932
"1962-03",2171
"1962-04",2162
"1962-05",2489
"1962-06",2424
"1962-07",2641
"1962-08",2630
"1962-09",2324
"1962-10",2412
"1962-11",2284
"1962-12",2186
"1963-01",2184
"1963-02",2144
"1963-03",2379
"1963-04",2383
"1963-05",2717
"1963-06",2774
"1963-07",3051
"1963-08",2891
"1963-09",2613
"1963-10",2600
"1963-11",2493
"1963-12",2410
"1964-01",2390
"1964-02",2463
"1964-03",2616
"1964-04",2734
"1964-05",2970
"1964-06",3125
"1964-07",3342
"1964-08",3207
"1964-09",2964
"1964-10",2919
"1964-11",2764
"1964-12",2732
"1965-01",2622
"1965-02",2698
"1965-03",2950
"1965-04",2895
"1965-05",3200
"1965-06",3408
"1965-07",3679
"1965-08",3473
"1965-09",3154
"1965-10",3107
"1965-11",3052
"1965-12",2918
"1966-01",2786
"1966-02",2739
"1966-03",3125
"1966-04",3033
"1966-05",3486
"1966-06",3661
"1966-07",3927
"1966-08",3851
"1966-09",3456
"1966-10",3390
"1966-11",3280
"1966-12",3166
"1967-01",3080
"1967-02",3069
"1967-03",3340
"1967-04",3310
"1967-05",3798
"1967-06",3883
"1967-07",4191
"1967-08",4213
"1967-09",3766
"1967-10",3628
"1967-11",3520
"1967-12",3322
"1968-01",3250
"1968-02",3287
"1968-03",3552
"1968-04",3440
"1968-05",4153
"1968-06",4265
"1968-07",4655
"1968-08",4492
"1968-09",4051
"1968-10",3967
"1968-11",3807
"1968-12",3639
"1969-01",3647
"1969-02",3560
"1969-03",3929
"1969-04",3858
"1969-05",4485
"1969-06",4697
"1969-07",4977
"1969-08",4675
"1969-09",4596
"1969-10",4491
"1969-11",4127
"1969-12",4144
"1970-01",4014
"1970-02",3994
"1970-03",4320
"1970-04",4400
"1970-05",5002
"1970-06",5091
"1970-07",5471
"1970-08",5193
"1970-09",4997
"1970-10",4737
"1970-11",4546
"1970-12",4498
"1971-01",4350
"1971-02",4206
"1971-03",4743
"1971-04",4582
"1971-05",5191
"1971-06",5457
"1971-07",5891
"1971-08",5618
"1971-09",5158
"1971-10",5030
"1971-11",4800
"1971-12",4654
"1972-01",4453
"1972-02",4440
"1972-03",4945
"1972-04",4788
"1972-05",5425
"1972-06",5706
"1972-07",6061
"1972-08",5846
"1972-09",5242
"1972-10",5408
"1972-11",5114
"1972-12",5042
"1973-01",5008
"1973-02",4657
"1973-03",5359
"1973-04",5193
"1973-05",5891
"1973-06",5980
"1973-07",6390
"1973-08",6366
"1973-09",5756
"1973-10",5640
"1973-11",5429
"1973-12",5398
"1974-01",5413
"1974-02",5141
"1974-03",5695
"1974-04",5554
"1974-05",6369
"1974-06",6592
"1974-07",7107
"1974-08",6917
"1974-09",6353
"1974-10",6205
"1974-11",5830
"1974-12",5646
"1975-01",5379
"1975-02",5489
"1975-03",5824
"1975-04",5907
"1975-05",6482
"1975-06",6795
"1975-07",7028
"1975-08",6776
"1975-09",6274
"1975-10",6362
"1975-11",5940
"1975-12",5958
"1976-01",5769
"1976-02",5887
"1976-03",6367
"1976-04",6165
"1976-05",6868
"1976-06",7201
"1976-07",7601
"1976-08",7581
"1976-09",7090
"1976-10",6841
"1976-11",6408
"1976-12",6435
"1977-01",6176
"1977-02",6138
"1977-03",6717
"1977-04",6470
"1977-05",7312
"1977-06",7763
"1977-07",8171
"1977-08",7788
"1977-09",7311
"1977-10",6679
"1977-11",6704
"1977-12",6724
"1978-01",6552
"1978-02",6427
"1978-03",7105
"1978-04",6869
"1978-05",7683
"1978-06",8082
"1978-07",8555
"1978-08",8386
"1978-09",7553
"1978-10",7398
"1978-11",7112
"1978-12",6886
"1979-01",7077
"1979-02",6820
"1979-03",7426
"1979-04",7143
"1979-05",8261
"1979-06",8240
"1979-07",8977
"1979-08",8991
"1979-09",8026
"1979-10",7911
"1979-11",7510
"1979-12",7381
"1980-01",7366
"1980-02",7414
"1980-03",7824
"1980-04",7524
"1980-05",8279
"1980-06",8707
"1980-07",9486
"1980-08",8973
"1980-09",8231
"1980-10",8206
"1980-11",7927
"1980-12",7999
"1981-01",7834
"1981-02",7521
"1981-03",8284
"1981-04",7999
"1981-05",8940
"1981-06",9381
"1981-07",10078
"1981-08",9796
"1981-09",8471
"1981-10",8572
"1981-11",8150
"1981-12",8168
"1982-01",8166
"1982-02",7903
"1982-03",8606
"1982-04",8071
"1982-05",9178
"1982-06",9873
"1982-07",10476
"1982-08",9296
"1982-09",8818
"1982-10",8697
"1982-11",8381
"1982-12",8293
"1983-01",7942
"1983-02",8001
"1983-03",8744
"1983-04",8397
"1983-05",9115
"1983-06",9773
"1983-07",10358
"1983-08",9849
"1983-09",9083
"1983-10",9143
"1983-11",8800
"1983-12",8741
"1984-01",8492
"1984-02",8795
"1984-03",9354
"1984-04",8796
"1984-05",10072
"1984-06",10174
"1984-07",11326
"1984-08",10744
"1984-09",9806
"1984-10",9740
"1984-11",9373
"1984-12",9244
"1985-01",9407
"1985-02",8827
"1985-03",9880
"1985-04",9364
"1985-05",10580
"1985-06",10899
"1985-07",11687
"1985-08",11280
"1985-09",10208
"1985-10",10212
"1985-11",9725
"1985-12",9721
"1986-01",9846
"1986-02",9407
"1986-03",10265
"1986-04",9970
"1986-05",10801
"1986-06",11246
"1986-07",12167
"1986-08",11578
"1986-09",10645
"1986-10",10613
"1986-11",10104
"1986-12",10348
"1987-01",10263
"1987-02",9973
"1987-03",10803
"1987-04",10409
"1987-05",11458
"1987-06",11845
"1987-07",12559
"1987-08",12070
"1987-09",11221
"1987-10",11338
"1987-11",10761
"1987-12",11012
"1988-01",10923
"1988-02",10790
"1988-03",11427
"1988-04",10788
"1988-05",11772
"1988-06",12104
"1988-07",12634
"1988-08",12772
"1988-09",11764
"1988-10",11956
"1988-11",11646
"1988-12",11750
"1989-01",11485
"1989-02",11198
"1989-03",12265
"1989-04",11704
"1989-05",12419
"1989-06",13259
"1989-07",13945
"1989-08",13839
"1989-09",12387
"1989-10",12546
"1989-11",12038
"1989-12",11977
"1990-01",12336
"1990-02",11793
"1990-03",12877
"1990-04",11923
"1990-05",13306
"1990-06",13988
"1990-07",14002
"1990-08",14336
"1990-09",12867
"1990-10",12721
"1990-11",12449
"1990-12",12686
"1991-01",12810
"1991-02",12015
"1991-03",12888
"1991-04",12431
"1991-05",13499
"1991-06",13014
"1991-07",14296
"1991-08",14125
"1991-09",12817
"1991-10",12862
"1991-11",12449
"1991-12",12489
"1992-01",12621
"1992-02",12380
"1992-03",13023
"1992-04",12302
"1992-05",13339
"1992-06",13825
"1992-07",14428
"1992-08",14151
"1992-09",13355
"1992-10",13094
"1992-11",12656
"1992-12",12435
"1993-01",13287
"1993-02",12434
"1993-03",13209
"1993-04",12817
"1993-05",13746
"1993-06",14259
