"Month","Monthly New York City births: unknown scale. Jan 1946 ? Dec 1959"
"1946-01",26.663
"1946-02",23.598
"1946-03",26.931
"1946-04",24.74
"1946-05",25.806
"1946-06",24.364
"1946-07",24.477
"1946-08",23.901
"1946-09",23.175
"1946-10",23.227
"1946-11",21.672
"1946-12",21.87
"1947-01",21.439
"1947-02",21.089
"1947-03",23.709
"1947-04",21.669
"1947-05",21.752
"1947-06",20.761
"1947-07",23.479
"1947-08",23.824
"1947-09",23.105
"1947-10",23.11
"1947-11",21.759
"1947-12",22.073
"1948-01",21.937
"1948-02",20.035
"1948-03",23.59
"1948-04",21.672
"1948-05",22.222
"1948-06",22.123
"1948-07",23.95
"1948-08",23.504
"1948-09",22.238
"1948-10",23.142
"1948-11",21.059
"1948-12",21.573
"1949-01",21.548
"1949-02",20
"1949-03",22.424
"1949-04",20.615
"1949-05",21.761
"1949-06",22.874
"1949-07",24.104
"1949-08",23.748
"1949-09",23.262
"1949-10",22.907
"1949-11",21.519
"1949-12",22.025
"1950-01",22.604
"1950-02",20.894
"1950-03",24.677
"1950-04",23.673
"1950-05",25.32
"1950-06",23.583
"1950-07",24.671
"1950-08",24.454
"1950-09",24.122
"1950-10",24.252
"1950-11",22.084
"1950-12",22.991
"1951-01",23.287
"1951-02",23.049
"1951-03",25.076
"1951-04",24.037
"1951-05",24.43
"1951-06",24.667
"1951-07",26.451
"1951-08",25.618
"1951-09",25.014
"1951-10",25.11
"1951-11",22.964
"1951-12",23.981
"1952-01",23.798
"1952-02",22.27
"1952-03",24.775
"1952-04",22.646
"1952-05",23.988
"1952-06",24.737
"1952-07",26.276
"1952-08",25.816
"1952-09",25.21
"1952-10",25.199
"1952-11",23.162
"1952-12",24.707
"1953-01",24.364
"1953-02",22.644
"1953-03",25.565
"1953-04",24.062
"1953-05",25.431
"1953-06",24.635
"1953-07",27.009
"1953-08",26.606
"1953-09",26.268
"1953-10",26.462
"1953-11",25.246
"1953-12",25.18
"1954-01",24.657
"1954-02",23.304
"1954-03",26.982
"1954-04",26.199
"1954-05",27.21
"1954-06",26.122
"1954-07",26.706
"1954-08",26.878
"1954-09",26.152
"1954-10",26.379
"1954-11",24.712
"1954-12",25.688
"1955-01",24.99
"1955-02",24.239
"1955-03",26.721
"1955-04",23.475
"1955-05",24.767
"1955-06",26.219
"1955-07",28.361
"1955-08",28.599
"1955-09",27.914
"1955-10",27.784
"1955-11",25.693
"1955-12",26.881
"1956-01",26.217
"1956-02",24.218
"1956-03",27.914
"1956-04",26.975
"1956-05",28.527
"1956-06",27.139
"1956-07",28.982
"1956-08",28.169
"1956-09",28.056
"1956-10",29.136
"1956-11",26.291
"1956-12",26.987
"1957-01",26.589
"1957-02",24.848
"1957-03",27.543
"1957-04",26.896
"1957-05",28.878
"1957-06",27.39
"1957-07",28.065
"1957-08",28.141
"1957-09",29.048
"1957-10",28.484
"1957-11",26.634
"1957-12",27.735
"1958-01",27.132
"1958-02",24.924
"1958-03",28.963
"1958-04",26.589
"1958-05",27.931
"1958-06",28.009
"1958-07",29.229
"1958-08",28.759
"1958-09",28.405
"1958-10",27.945
"1958-11",25.912
"1958-12",26.619
"1959-01",26.076
"1959-02",25.286
"1959-03",27.66
"1959-04",25.951
"1959-05",26.398
"1959-06",25.565
"1959-07",28.865
"1959-08",30
"1959-09",29.261
"1959-10",29.012
"1959-11",26.992
"1959-12",27.897

Monthly New York City births: unknown scale. Jan 1946 ? Dec 1959

