"Month","Monthly production of blooms and slabs in Australia: thousand tonnes. Old definition. Jan 1956 ? May 1994"
"1956-01",179
"1956-02",183
"1956-03",178
"1956-04",176
"1956-05",204
"1956-06",179
"1956-07",193
"1956-08",175
"1956-09",184
"1956-10",188
"1956-11",202
"1956-12",187
"1957-01",197
"1957-02",194
"1957-03",217
"1957-04",198
"1957-05",210
"1957-06",198
"1957-07",230
"1957-08",225
"1957-09",214
"1957-10",212
"1957-11",214
"1957-12",204
"1958-01",196
"1958-02",190
"1958-03",215
"1958-04",203
"1958-05",232
"1958-06",220
"1958-07",244
"1958-08",242
"1958-09",241
"1958-10",244
"1958-11",245
"1958-12",240
"1959-01",247
"1959-02",225
"1959-03",223
"1959-04",241
"1959-05",248
"1959-06",240
"1959-07",249
"1959-08",263
"1959-09",253
"1959-10",259
"1959-11",253
"1959-12",258
"1960-01",254
"1960-02",248
"1960-03",265
"1960-04",252
"1960-05",276
"1960-06",260
"1960-07",273
"1960-08",298
"1960-09",270
"1960-10",272
"1960-11",267
"1960-12",288
"1961-01",227
"1961-02",250
"1961-03",278
"1961-04",272
"1961-05",288
"1961-06",275
"1961-07",282
"1961-08",301
"1961-09",287
"1961-10",269
"1961-11",271
"1961-12",273
"1962-01",293
"1962-02",277
"1962-03",304
"1962-04",274
"1962-05",311
"1962-06",284
"1962-07",330
"1962-08",325
"1962-09",304
"1962-10",273
"1962-11",320
"1962-12",319
"1963-01",314
"1963-02",293
"1963-03",320
"1963-04",316
"1963-05",331
"1963-06",322
"1963-07",340
"1963-08",363
"1963-09",328
"1963-10",339
"1963-11",349
"1963-12",355
"1964-01",345
"1964-02",333
"1964-03",343
"1964-04",345
"1964-05",369
"1964-06",363
"1964-07",374
"1964-08",381
"1964-09",388
"1964-10",370
"1964-11",374
"1964-12",396
"1965-01",402
"1965-02",371
"1965-03",399
"1965-04",368
"1965-05",387
"1965-06",359
"1965-07",427
"1965-08",422
"1965-09",432
"1965-10",417
"1965-11",447
"1965-12",430
"1966-01",409
"1966-02",370
"1966-03",388
"1966-04",374
"1966-05",426
"1966-06",430
"1966-07",452
"1966-08",423
"1966-09",458
"1966-10",472
"1966-11",448
"1966-12",453
"1967-01",434
