"Month","Monthly production of clay bricks: million units. Jan 1956 ? Aug 1995"
"1956-01",53
"1956-02",68
"1956-03",68
"1956-04",66
"1956-05",72
"1956-06",66
"1956-07",70
"1956-08",72
"1956-09",66
"1956-10",74
"1956-11",71
"1956-12",52
"1957-01",51
"1957-02",66
"1957-03",70
"1957-04",68
"1957-05",78
"1957-06",68
"1957-07",77
"1957-08",75
"1957-09",75
"1957-10",82
"1957-11",79
"1957-12",62
"1958-01",56
"1958-02",69
"1958-03",74
"1958-04",72
"1958-05",82
"1958-06",75
"1958-07",86
"1958-08",78
"1958-09",85
"1958-10",84
"1958-11",78
"1958-12",72
"1959-01",53
"1959-02",75
"1959-03",80
"1959-04",83
"1959-05",85
"1959-06",85
"1959-07",88
"1959-08",86
"1959-09",93
"1959-10",91
"1959-11",85
"1959-12",79
"1960-01",57
"1960-02",86
"1960-03",99
"1960-04",82
"1960-05",95
"1960-06",91
"1960-07",91
"1960-08",101
"1960-09",98
"1960-10",96
"1960-11",102
"1960-12",79
"1961-01",64
"1961-02",85
"1961-03",92
"1961-04",76
"1961-05",93
"1961-06",84
"1961-07",86
"1961-08",93
"1961-09",86
"1961-10",87
"1961-11",84
"1961-12",65
"1962-01",55
"1962-02",81
"1962-03",93
"1962-04",80
"1962-05",97
"1962-06",88
"1962-07",95
"1962-08",94
"1962-09",86
"1962-10",95
"1962-11",95
"1962-12",68
"1963-01",60
"1963-02",84
"1963-03",87
"1963-04",84
"1963-05",93
"1963-06",86
"1963-07",103
"1963-08",104
"1963-09",101
"1963-10",115
"1963-11",110
"1963-12",88
"1964-01",80
"1964-02",107
"1964-03",106
"1964-04",111
"1964-05",111
"1964-06",106
"1964-07",118
"1964-08",111
"1964-09",120
"1964-10",120
"1964-11",116
"1964-12",104
"1965-01",78
"1965-02",106
"1965-03",125
"1965-04",113
"1965-05",117
"1965-06",119
"1965-07",120
"1965-08",123
"1965-09",123
"1965-10",119
"1965-11",123
"1965-12",98
"1966-01",73
"1966-02",107
"1966-03",122
"1966-04",108
"1966-05",122
"1966-06",120
"1966-07",117
"1966-08",124
"1966-09",121
"1966-10",117
"1966-11",123
"1966-12",97
"1967-01",99
"1967-02",110
"1967-03",117
"1967-04",113
"1967-05",129
"1967-06",116
"1967-07",115
"1967-08",124
"1967-09",120
"1967-10",123
"1967-11",128
"1967-12",106
"1968-01",91
"1968-02",122
"1968-03",128
"1968-04",121
"1968-05",137
"1968-06",122
"1968-07",138
"1968-08",134
"1968-09",132
"1968-10",145
"1968-11",142
"1968-12",122
"1969-01",106
"1969-02",136
"1969-03",141
"1969-04",138
"1969-05",144
"1969-06",135
"1969-07",156
"1969-08",147
"1969-09",151
"1969-10",156
"1969-11",141
"1969-12",131
"1970-01",105
"1970-02",141
"1970-03",140
"1970-04",142
"1970-05",144
"1970-06",142
"1970-07",142
"1970-08",141
"1970-09",151
"1970-10",142
"1970-11",146
"1970-12",129
"1971-01",100
"1971-02",132
"1971-03",153
"1971-04",135
"1971-05",147
"1971-06",151
"1971-07",151
"1971-08",155
"1971-09",147
"1971-10",149
"1971-11",157
"1971-12",130
"1972-01",97
"1972-02",147
"1972-03",155
"1972-04",139
"1972-05",167
"1972-06",155
"1972-07",147
"1972-08",162
"1972-09",167
"1972-10",166
"1972-11",168
"1972-12",143
"1973-01",132
"1973-02",151
"1973-03",169
"1973-04",145
"1973-05",154
"1973-06",162
"1973-07",178
"1973-08",185
"1973-09",171
"1973-10",183
"1973-11",178
"1973-12",155
"1974-01",140
"1974-02",165
"1974-03",173
"1974-04",169
"1974-05",189
"1974-06",168
"1974-07",189
"1974-08",167
"1974-09",162
"1974-10",155
"1974-11",143
"1974-12",119
"1975-01",78
"1975-02",129
"1975-03",133
"1975-04",142
"1975-05",152
"1975-06",143
"1975-07",153
"1975-08",149
"1975-09",157
"1975-10",162
"1975-11",148
"1975-12",139
"1976-01",95
"1976-02",156
"1976-03",173
"1976-04",161
"1976-05",167
"1976-06",173
"1976-07",176
"1976-08",183
"1976-09",181
"1976-10",183
"1976-11",193
"1976-12",157
"1977-01",108
"1977-02",168
"1977-03",181
"1977-04",163
"1977-05",175
"1977-06",175
"1977-07",171
"1977-08",183
"1977-09",168
"1977-10",161
"1977-11",173
"1977-12",144
"1978-01",101
"1978-02",156
"1978-03",164
"1978-04",151
"1978-05",171
"1978-06",165
"1978-07",149
"1978-08",162
"1978-09",159
"1978-10",167
"1978-11",172
"1978-12",143
"1979-01",117
"1979-02",158
"1979-03",183
"1979-04",164
"1979-05",190
"1979-06",172
"1979-07",188
"1979-08",201
"1979-09",184
"1979-10",200
"1979-11",202
"1979-12",161
"1980-01",137
"1980-02",185
"1980-03",191
"1980-04",176
"1980-05",189
"1980-06",186
"1980-07",205
"1980-08",188
"1980-09",196
"1980-10",202
"1980-11",187
"1980-12",175
"1981-01",133
"1981-02",179
"1981-03",207
"1981-04",189
"1981-05",195
"1981-06",197
"1981-07",194
"1981-08",189
"1981-09",198
"1981-10",201
"1981-11",193
"1981-12",184
"1982-01",127
"1982-02",171
"1982-03",202
"1982-04",183
"1982-05",189
"1982-06",188
"1982-07",178
"1982-08",170
"1982-09",164
"1982-10",149
"1982-11",156
"1982-12",107
"1983-01",47
"1983-02",111
"1983-03",145
"1983-04",138
"1983-05",138
"1983-06",133
"1983-07",137
"1983-08",142
"1983-09",141
"1983-10",141
"1983-11",147
"1983-12",125
"1984-01",91
"1984-02",149
"1984-03",160
"1984-04",145
"1984-05",168
"1984-06",156
"1984-07",163
"1984-08",165
"1984-09",154
"1984-10",180
"1984-11",169
"1984-12",135
"1985-01",118
"1985-02",158
"1985-03",171
"1985-04",168
"1985-05",177
"1985-06",162
"1985-07",189
"1985-08",174
"1985-09",170
"1985-10",184
"1985-11",173
"1985-12",146
"1986-01",117
"1986-02",160
"1986-03",166
"1986-04",169
"1986-05",172
"1986-06",162
"1986-07",173
"1986-08",160
"1986-09",172
"1986-10",164
"1986-11",145
"1986-12",134
"1987-01",99
"1987-02",144
"1987-03",172
"1987-04",153
"1987-05",161
"1987-06",171
"1987-07",164
"1987-08",158
"1987-09",173
"1987-10",159
"1987-11",152
"1987-12",147
"1988-01",89
"1988-02",151
"1988-03",187
"1988-04",151
"1988-05",192
"1988-06",176
"1988-07",175
"1988-08",199
"1988-09",181
"1988-10",178
"1988-11",197
"1988-12",164
"1989-01",155
"1989-02",176
"1989-03",180
"1989-04",181
"1989-05",208
"1989-06",183
"1989-07",185
"1989-08",205
"1989-09",180
"1989-10",196
"1989-11",183
"1989-12",147
"1990-01",128
"1990-02",158
"1990-03",186
"1990-04",165
"1990-05",191
"1990-06",168
"1990-07",171
"1990-08",169
"1990-09",157
"1990-10",175
"1990-11",156
"1990-12",129
"1991-01",89
"1991-02",138
"1991-03",146
"1991-04",151
"1991-05",156
"1991-06",129
"1991-07",146
"1991-08",141
"1991-09",137
"1991-10",155
"1991-11",147
"1991-12",128
"1992-01",92
"1992-02",136
"1992-03",159
"1992-04",131
"1992-05",134
"1992-06",148
"1992-07",146
"1992-08",144
"1992-09",161
"1992-10",140
"1992-11",141
"1992-12",139
"1993-01",94
"1993-02",136
"1993-03",164
"1993-04",141
"1993-05",159
"1993-06",162
"1993-07",154
"1993-08",166
"1993-09",156
"1993-10",147
"1993-11",161
"1993-12",135
"1994-01",98
"1994-02",150
"1994-03",173
"1994-04",144
"1994-05",167
"1994-06",161
"1994-07",156
"1994-08",175
"1994-09",163
"1994-10",159
"1994-11",167
"1994-12",148
"1995-01",119
"1995-02",150
"1995-03",161
"1995-04",136
"1995-05",166
"1995-06",155
"1995-07",140
"1995-08",141

Monthly production of clay bricks: million units. Jan 1956 ? Aug 1995

