"Month","Monthly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Jan 1956 ? Aug 1995"
"1956-01",1709
"1956-02",1646
"1956-03",1794
"1956-04",1878
"1956-05",2173
"1956-06",2321
"1956-07",2468
"1956-08",2416
"1956-09",2184
"1956-10",2121
"1956-11",1962
"1956-12",1825
"1957-01",1751
"1957-02",1688
"1957-03",1920
"1957-04",1941
"1957-05",2311
"1957-06",2279
"1957-07",2638
"1957-08",2448
"1957-09",2279
"1957-10",2163
"1957-11",1941
"1957-12",1878
"1958-01",1773
"1958-02",1688
"1958-03",1783
"1958-04",1984
"1958-05",2290
"1958-06",2511
"1958-07",2712
"1958-08",2522
"1958-09",2342
"1958-10",2195
"1958-11",1931
"1958-12",1910
"1959-01",1730
"1959-02",1688
"1959-03",1899
"1959-04",1994
"1959-05",2342
"1959-06",2553
"1959-07",2712
"1959-08",2627
"1959-09",2363
"1959-10",2311
"1959-11",2026
"1959-12",1910
"1960-01",1762
"1960-02",1815
"1960-03",2005
"1960-04",2089
"1960-05",2617
"1960-06",2828
"1960-07",2965
"1960-08",2891
"1960-09",2532
"1960-10",2363
"1960-11",2216
"1960-12",2026
"1961-01",1804
"1961-02",1773
"1961-03",2015
"1961-04",2089
"1961-05",2627
"1961-06",2712
"1961-07",3007
"1961-08",2880
"1961-09",2490
"1961-10",2237
"1961-11",2205
"1961-12",1984
"1962-01",1868
"1962-02",1815
"1962-03",2047
"1962-04",2142
"1962-05",2743
"1962-06",2775
"1962-07",3028
"1962-08",2965
"1962-09",2501
"1962-10",2501
"1962-11",2131
"1962-12",2015
"1963-01",1910
"1963-02",1868
"1963-03",2121
"1963-04",2268
"1963-05",2690
"1963-06",2933
"1963-07",3218
"1963-08",3028
"1963-09",2659
"1963-10",2406
"1963-11",2258
"1963-12",2057
"1964-01",1889
"1964-02",1984
"1964-03",2110
"1964-04",2311
"1964-05",2785
"1964-06",3039
"1964-07",3229
"1964-08",3070
"1964-09",2659
"1964-10",2543
"1964-11",2237
"1964-12",2142
"1965-01",1962
"1965-02",1910
"1965-03",2216
"1965-04",2437
"1965-05",2817
"1965-06",3123
"1965-07",3345
"1965-08",3112
"1965-09",2659
"1965-10",2469
"1965-11",2332
"1965-12",2110
"1966-01",1910
"1966-02",1941
"1966-03",2216
"1966-04",2342
"1966-05",2923
"1966-06",3229
"1966-07",3513
"1966-08",3355
"1966-09",2849
"1966-10",2680
"1966-11",2395
"1966-12",2205
"1967-01",1994
"1967-02",1952
"1967-03",2290
"1967-04",2395
"1967-05",2965
"1967-06",3239
"1967-07",3608
"1967-08",3524
"1967-09",3018
"1967-10",2648
"1967-11",2363
"1967-12",2247
"1968-01",1994
"1968-02",1941
"1968-03",2258
"1968-04",2332
"1968-05",3323
"1968-06",3608
"1968-07",3957
"1968-08",3672
"1968-09",3155
"1968-10",2933
"1968-11",2585
"1968-12",2384
"1969-01",2057
"1969-02",2100
"1969-03",2458
"1969-04",2638
"1969-05",3292
"1969-06",3724
"1969-07",4652
"1969-08",4379
"1969-09",4231
"1969-10",3756
"1969-11",3429
"1969-12",3461
"1970-01",3345
"1970-02",4220
"1970-03",4874
"1970-04",5064
"1970-05",5951
