"Month","Monthly production of Portland cement: thousands of tonnes. Jan 1956 ? Aug 1995"
"1956-01",137
"1956-02",154
"1956-03",174
"1956-04",171
"1956-05",183
"1956-06",178
"1956-07",182
"1956-08",200
"1956-09",179
"1956-10",206
"1956-11",194
"1956-12",170
"1957-01",153
"1957-02",174
"1957-03",202
"1957-04",200
"1957-05",206
"1957-06",198
"1957-07",210
"1957-08",204
"1957-09",189
"1957-10",205
"1957-11",204
"1957-12",173
"1958-01",170
"1958-02",181
"1958-03",203
"1958-04",199
"1958-05",212
"1958-06",209
"1958-07",212
"1958-08",218
"1958-09",216
"1958-10",228
"1958-11",213
"1958-12",196
"1959-01",162
"1959-02",193
"1959-03",218
"1959-04",221
"1959-05",236
"1959-06",216
"1959-07",227
"1959-08",233
"1959-09",230
"1959-10",231
"1959-11",229
"1959-12",221
"1960-01",174
"1960-02",215
"1960-03",232
"1960-04",225
"1960-05",235
"1960-06",238
"1960-07",247
"1960-08",249
"1960-09",257
"1960-10",256
"1960-11",251
"1960-12",221
"1961-01",196
"1961-02",232
"1961-03",260
"1961-04",235
"1961-05",255
"1961-06",247
"1961-07",286
"1961-08",253
"1961-09",243
"1961-10",249
"1961-11",233
"1961-12",210
"1962-01",179
"1962-02",210
"1962-03",248
"1962-04",241
"1962-05",258
"1962-06",258
"1962-07",273
"1962-08",258
"1962-09",252
"1962-10",266
"1962-11",272
"1962-12",219
"1963-01",161
"1963-02",236
"1963-03",277
"1963-04",249
"1963-05",266
"1963-06",219
"1963-07",268
"1963-08",297
"1963-09",270
"1963-10",301
"1963-11",281
"1963-12",256
"1964-01",215
"1964-02",272
"1964-03",310
"1964-04",303
"1964-05",304
"1964-06",297
"1964-07",298
"1964-08",326
"1964-09",325
"1964-10",345
"1964-11",330
"1964-12",300
"1965-01",244
"1965-02",293
"1965-03",365
"1965-04",321
"1965-05",338
"1965-06",315
"1965-07",328
"1965-08",327
"1965-09",314
"1965-10",338
"1965-11",318
"1965-12",311
"1966-01",258
"1966-02",281
"1966-03",310
"1966-04",315
"1966-05",337
"1966-06",309
"1966-07",320
"1966-08",325
"1966-09",321
"1966-10",323
"1966-11",320
"1966-12",279
"1967-01",227
"1967-02",296
"1967-03",313
"1967-04",316
"1967-05",360
"1967-06",322
"1967-07",341
"1967-08",346
"1967-09",338
"1967-10",360
"1967-11",329
"1967-12",282
"1968-01",241
"1968-02",317
"1968-03",334
"1968-04",301
"1968-05",353
"1968-06",319
"1968-07",346
"1968-08",350
"1968-09",351
"1968-10",372
"1968-11",355
"1968-12",290
"1969-01",257
"1969-02",325
"1969-03",366
"1969-04",321
"1969-05",371
"1969-06",340
"1969-07",391
"1969-08",407
"1969-09",392
"1969-10",403
"1969-11",399
"1969-12",334
"1970-01",304
"1970-02",361
"1970-03",384
"1970-04",377
"1970-05",372
"1970-06",385
"1970-07",425
"1970-08",407
"1970-09",397
"1970-10",422
"1970-11",424
"1970-12",342
"1971-01",309
"1971-02",341
"1971-03",408
"1971-04",376
"1971-05",424
"1971-06",409
"1971-07",423
"1971-08",374
"1971-09",402
"1971-10",443
"1971-11",437
"1971-12",373
"1972-01",292
"1972-02",349
"1972-03",429
"1972-04",418
"1972-05",435
"1972-06",429
"1972-07",433
"1972-08",442
"1972-09",428
"1972-10",443
"1972-11",461
"1972-12",377
"1973-01",313
"1973-02",375
"1973-03",460
"1973-04",400
"1973-05",469
"1973-06",436
"1973-07",478
"1973-08",419
"1973-09",445
"1973-10",516
"1973-11",494
"1973-12",442
"1974-01",300
"1974-02",416
"1974-03",468
"1974-04",434
"1974-05",468
"1974-06",450
"1974-07",399
"1974-08",450
"1974-09",467
"1974-10",485
"1974-11",446
"1974-12",422
"1975-01",305
"1975-02",401
"1975-03",415
"1975-04",413
"1975-05",460
"1975-06",424
"1975-07",439
"1975-08",429
"1975-09",450
"1975-10",443
"1975-11",449
"1975-12",389
"1976-01",255
"1976-02",416
"1976-03",438
"1976-04",431
"1976-05",454
"1976-06",414
"1976-07",470
"1976-08",439
"1976-09",432
