"Month","Monthly production of sulphuric acid in Australia: thousand tonnes. Jan 1956 ? Jul 1994"
"1956-01",77
"1956-02",82
"1956-03",80
"1956-04",78
"1956-05",74
"1956-06",68
"1956-07",59
"1956-08",67
"1956-09",68
"1956-10",70
"1956-11",64
"1956-12",61
"1957-01",72
"1957-02",83
"1957-03",90
"1957-04",87
"1957-05",89
"1957-06",80
"1957-07",82
"1957-08",89
"1957-09",74
"1957-10",73
"1957-11",83
"1957-12",78
"1958-01",80
"1958-02",83
"1958-03",88
"1958-04",91
"1958-05",99
"1958-06",84
"1958-07",81
"1958-08",97
"1958-09",82
"1958-10",77
"1958-11",82
"1958-12",68
"1959-01",81
"1959-02",79
"1959-03",94
"1959-04",91
"1959-05",91
"1959-06",78
"1959-07",74
"1959-08",84
"1959-09",83
"1959-10",86
"1959-11",75
"1959-12",85
"1960-01",89
"1960-02",91
"1960-03",104
"1960-04",109
"1960-05",107
"1960-06",100
"1960-07",79
"1960-08",90
"1960-09",97
"1960-10",87
"1960-11",74
"1960-12",92
"1961-01",92
"1961-02",97
"1961-03",108
"1961-04",113
"1961-05",112
"1961-06",99
"1961-07",86
"1961-08",93
"1961-09",96
"1961-10",85
"1961-11",74
"1961-12",86
"1962-01",89
"1962-02",106
"1962-03",113
"1962-04",115
"1962-05",109
"1962-06",103
"1962-07",100
"1962-08",99
"1962-09",103
"1962-10",103
"1962-11",101
"1962-12",103
"1963-01",107
"1963-02",111
"1963-03",121
"1963-04",120
"1963-05",110
"1963-06",103
"1963-07",93
"1963-08",110
"1963-09",115
"1963-10",118
"1963-11",118
"1963-12",121
"1964-01",123
"1964-02",123
"1964-03",134
"1964-04",131
"1964-05",142
"1964-06",143
"1964-07",126
"1964-08",124
"1964-09",124
"1964-10",139
"1964-11",127
"1964-12",141
"1965-01",135
"1965-02",136
"1965-03",167
"1965-04",151
"1965-05",154
"1965-06",137
"1965-07",130
"1965-08",134
"1965-09",141
"1965-10",149
"1965-11",125
"1965-12",151
"1966-01",156
"1966-02",151
"1966-03",162
"1966-04",172
"1966-05",164
"1966-06",170
"1966-07",160
"1966-08",155
"1966-09",153
"1966-10",169
"1966-11",162
"1966-12",160
"1967-01",190
"1967-02",167
"1967-03",198
"1967-04",181
"1967-05",175
"1967-06",154
"1967-07",140
"1967-08",160
"1967-09",177
"1967-10",164
"1967-11",156
"1967-12",165
"1968-01",167
"1968-02",168
"1968-03",159
"1968-04",174
"1968-05",168
"1968-06",128
"1968-07",121
"1968-08",152
"1968-09",177
"1968-10",168
"1968-11",142
"1968-12",167
"1969-01",160
"1969-02",170
"1969-03",181
"1969-04",171
"1969-05",150
"1969-06",126
"1969-07",107
"1969-08",139
"1969-09",174
"1969-10",163
"1969-11",152
"1969-12",176
"1970-01",174
"1970-02",150
"1970-03",153
"1970-04",133
"1970-05",141
"1970-06",114
"1970-07",89
"1970-08",129
"1970-09",159
"1970-10",148
"1970-11",144
"1970-12",146
"1971-01",117
"1971-02",156
"1971-03",147
"1971-04",148
"1971-05",136
"1971-06",91
"1971-07",73
"1971-08",144
"1971-09",149
"1971-10",155
"1971-11",147
"1971-12",134
"1972-01",137
"1972-02",133
"1972-03",130
"1972-04",185
"1972-05",185
"1972-06",178
"1972-07",125
"1972-08",148
"1972-09",163
"1972-10",195
"1972-11",173
"1972-12",202
"1973-01",214
"1973-02",199
"1973-03",196
"1973-04",212
"1973-05",220
"1973-06",218
"1973-07",160
"1973-08",201
"1973-09",217
"1973-10",167
"1973-11",182
"1973-12",197
"1974-01",226
"1974-02",226
"1974-03",189
"1974-04",228
"1974-05",223
"1974-06",214
"1974-07",167
"1974-08",160
"1974-09",210
"1974-10",208
"1974-11",179
"1974-12",201
"1975-01",154
"1975-02",140
"1975-03",124
"1975-04",94
"1975-05",69
"1975-06",63
"1975-07",67
"1975-08",73
"1975-09",72
"1975-10",73
"1975-11",109
"1975-12",113
"1976-01",129
"1976-02",135
"1976-03",153
"1976-04",161
"1976-05",102
"1976-06",107
"1976-07",106
"1976-08",105
"1976-09",129
"1976-10",134
"1976-11",145
"1976-12",166
"1977-01",142
"1977-02",139
"1977-03",142
"1977-04",165
"1977-05",172
"1977-06",177
"1977-07",109
"1977-08",104
"1977-09",142
"1977-10",135
"1977-11",157
"1977-12",158
"1978-01",172
"1978-02",160
"1978-03",170
"1978-04",189
"1978-05",177
"1978-06",147
"1978-07",116
"1978-08",112
"1978-09",144
"1978-10",154
"1978-11",149
"1978-12",171
"1979-01",165
"1979-02",162
"1979-03",206
"1979-04",195
"1979-05",187
"1979-06",161
"1979-07",155
"1979-08",152
"1979-09",131
"1979-10",179
"1979-11",195
"1979-12",186
"1980-01",188
"1980-02",190
"1980-03",206
"1980-04",214
"1980-05",202
"1980-06",177
"1980-07",138
"1980-08",143
"1980-09",134
"1980-10",138
"1980-11",176
"1980-12",169
"1981-01",198
"1981-02",162
"1981-03",194
"1981-04",181
"1981-05",180
"1981-06",151
"1981-07",126
"1981-08",159
"1981-09",149
"1981-10",161
"1981-11",170
"1981-12",189
"1982-01",176
"1982-02",176
"1982-03",185
"1982-04",182
"1982-05",188
"1982-06",165
"1982-07",141
"1982-08",126
"1982-09",145
"1982-10",133
"1982-11",139
"1982-12",160
"1983-01",164
"1983-02",154
"1983-03",167
"1983-04",150
"1983-05",158
"1983-06",144
"1983-07",121
"1983-08",121
"1983-09",94
"1983-10",118
"1983-11",146
"1983-12",169
"1984-01",182
"1984-02",150
"1984-03",175
"1984-04",172
"1984-05",170
"1984-06",106
"1984-07",128
"1984-08",135
"1984-09",98
"1984-10",121
"1984-11",163
"1984-12",168
"1985-01",171
"1985-02",156
"1985-03",166
"1985-04",155
"1985-05",161
"1985-06",152
"1985-07",126
"1985-08",136
"1985-09",114
"1985-10",156
"1985-11",173
"1985-12",186
"1986-01",178
"1986-02",144
"1986-03",132
"1986-04",156
"1986-05",149
"1986-06",138
"1986-07",129
"1986-08",115
"1986-09",117
"1986-10",121
"1986-11",136
"1986-12",130
"1987-01",157
"1987-02",148
"1987-03",175
"1987-04",156
"1987-05",156
"1987-06",135
"1987-07",104
"1987-08",97
"1987-09",139
"1987-10",145
"1987-11",143
"1987-12",179
"1988-01",118
"1988-02",163
"1988-03",181
"1988-04",177
"1988-05",169
"1988-06",171
"1988-07",136
"1988-08",148
"1988-09",144
"1988-10",138
"1988-11",130
"1988-12",189
"1989-01",176
"1989-02",156
"1989-03",175
"1989-04",169
"1989-05",179
"1989-06",138
"1989-07",98
"1989-08",105
"1989-09",100
"1989-10",101
"1989-11",117
"1989-12",138
"1990-01",145
"1990-02",144
"1990-03",146
"1990-04",132
"1990-05",125
"1990-06",113
"1990-07",104
"1990-08",96
"1990-09",72
"1990-10",72
"1990-11",74
"1990-12",92
"1991-01",104
"1991-02",84
"1991-03",67
"1991-04",75
"1991-05",79
"1991-06",66
"1991-07",56
"1991-08",51
"1991-09",54
"1991-10",71
"1991-11",61
"1991-12",68
"1992-01",82
"1992-02",81
"1992-03",78
"1992-04",67
"1992-05",75
"1992-06",69
"1992-07",62
"1992-08",52
"1992-09",57
"1992-10",70
"1992-11",76
"1992-12",88
"1993-01",94
"1993-02",69
"1993-03",85
"1993-04",68
"1993-05",71
"1993-06",75
"1993-07",64
"1993-08",42
"1993-09",61
"1993-10",67
"1993-11",75
"1993-12",83
"1994-01",82
"1994-02",71
"1994-03",73
"1994-04",75
"1994-05",71
"1994-06",69

Monthly production of sulphuric acid in Australia: thousand tonnes. Jan 1956 ? Jul 1994

