"Month","Monthly reported number of cases of measles, New York city, 1928-1972"
"1928-01",609
"1928-02",1516
"1928-03",4952
"1928-04",7466
"1928-05",11155
"1928-06",7002
"1928-07",1315
"1928-08",189
"1928-09",74
"1928-10",119
"1928-11",287
"1928-12",324
"1929-01",288
"1929-02",241
"1929-03",347
"1929-04",378
"1929-05",498
"1929-06",324
"1929-07",151
"1929-08",69
"1929-09",44
"1929-10",42
"1929-11",34
"1929-12",121
"1930-01",316
"1930-02",781
"1930-03",1870
"1930-04",5309
"1930-05",7499
"1930-06",5386
"1930-07",1386
"1930-08",211
"1930-09",107
"1930-10",128
"1930-11",219
"1930-12",423
"1931-01",750
"1931-02",2010
"1931-03",4858
"1931-04",6172
"1931-05",7095
"1931-06",4238
"1931-07",907
"1931-08",165
"1931-09",43
"1931-10",54
"1931-11",93
"1931-12",134
"1932-01",146
"1932-02",270
"1932-03",621
"1932-04",1096
"1932-05",2271
"1932-06",2537
"1932-07",1081
"1932-08",288
"1932-09",118
"1932-10",149
"1932-11",594
"1932-12",1183
"1933-01",1960
"1933-02",4699
"1933-03",9635
"1933-04",9573
"1933-05",6605
"1933-06",2697
"1933-07",601
"1933-08",139
"1933-09",50
"1933-10",55
"1933-11",71
"1933-12",131
"1934-01",133
"1934-02",168
"1934-03",431
"1934-04",652
"1934-05",1414
"1934-06",1317
"1934-07",422
"1934-08",95
"1934-09",47
"1934-10",45
"1934-11",86
"1934-12",205
"1935-01",508
"1935-02",1576
"1935-03",4357
"1935-04",6630
"1935-05",6813
"1935-06",5182
"1935-07",1975
"1935-08",358
"1935-09",67
"1935-10",136
"1935-11",333
"1935-12",555
"1936-01",1426
"1936-02",4054
"1936-03",7376
"1936-04",8792
"1936-05",8247
"1936-06",4738
"1936-07",1143
"1936-08",213
"1936-09",87
"1936-10",99
"1936-11",154
"1936-12",219
"1937-01",235
"1937-02",365
"1937-03",1075
"1937-04",2253
"1937-05",3546
"1937-06",3058
"1937-07",880
"1937-08",247
"1937-09",84
"1937-10",90
"1937-11",136
"1937-12",122
"1938-01",519
"1938-02",1585
"1938-03",5713
"1938-04",10018
"1938-05",8634
"1938-06",6253
"1938-07",1231
"1938-08",239
