"Month","Monthly reported number of cases of mumps, New York city, 1928-1972"
"1928-01",124
"1928-02",132
"1928-03",193
"1928-04",144
"1928-05",195
"1928-06",105
"1928-07",40
"1928-08",20
"1928-09",42
"1928-10",58
"1928-11",170
"1928-12",197
"1929-01",329
"1929-02",417
"1929-03",968
"1929-04",989
"1929-05",1264
"1929-06",1074
"1929-07",352
"1929-08",118
"1929-09",69
"1929-10",91
"1929-11",182
"1929-12",233
"1930-01",406
"1930-02",550
"1930-03",853
"1930-04",835
"1930-05",787
"1930-06",518
"1930-07",132
"1930-08",66
"1930-09",57
"1930-10",77
"1930-11",83
"1930-12",138
"1931-01",116
"1931-02",177
"1931-03",288
"1931-04",299
"1931-05",315
"1931-06",329
"1931-07",143
"1931-08",50
"1931-09",59
"1931-10",74
"1931-11",110
"1931-12",180
"1932-01",361
"1932-02",556
"1932-03",687
"1932-04",821
"1932-05",799
"1932-06",901
"1932-07",478
"1932-08",212
"1932-09",153
"1932-10",207
"1932-11",386
"1932-12",576
"1933-01",807
"1933-02",923
"1933-03",1604
"1933-04",1475
"1933-05",1123
"1933-06",662
"1933-07",253
"1933-08",116
"1933-09",70
"1933-10",107
"1933-11",147
"1933-12",155
"1934-01",266
"1934-02",249
"1934-03",406
"1934-04",452
"1934-05",547
"1934-06",472
"1934-07",213
"1934-08",136
"1934-09",114
"1934-10",137
"1934-11",276
"1934-12",341
"1935-01",688
"1935-02",935
"1935-03",1850
"1935-04",1938
"1935-05",1806
"1935-06",1030
"1935-07",472
"1935-08",151
"1935-09",123
"1935-10",133
"1935-11",195
"1935-12",255
"1936-01",357
"1936-02",386
"1936-03",543
"1936-04",645
"1936-05",668
"1936-06",659
"1936-07",276
"1936-08",142
"1936-09",93
"1936-10",82
"1936-11",122
"1936-12",225
"1937-01",315
"1937-02",360
"1937-03",777
"1937-04",1070
"1937-05",1115
"1937-06",1200
"1937-07",550
"1937-08",279
"1937-09",154
"1937-10",170
"1937-11",290
"1937-12",488
"1938-01",764
"1938-02",990
"1938-03",1695
"1938-04",1738
"1938-05",1295
"1938-06",1026
"1938-07",345
"1938-08",178
"1938-09",85
"1938-10",115
"1938-11",122
"1938-12",179
"1939-01",266
"1939-02",326
"1939-03",454
"1939-04",510
"1939-05",555
"1939-06",531
"1939-07",358
"1939-08",177
"1939-09",131
"1939-10",189
"1939-11",262
"1939-12",398
"1940-01",662
"1940-02",733
"1940-03",941
"1940-04",1229
"1940-05",1485
"1940-06",1406
"1940-07",959
"1940-08",436
"1940-09",233
"1940-10",221
"1940-11",391
"1940-12",696
"1941-01",930
"1941-02",899
"1941-03",1261
"1941-04",1245
"1941-05",847
"1941-06",626
"1941-07",348
"1941-08",168
"1941-09",132
"1941-10",142
"1941-11",201
"1941-12",399
"1942-01",569
"1942-02",651
"1942-03",1024
"1942-04",1272
"1942-05",1258
"1942-06",960
"1942-07",445
"1942-08",201
"1942-09",138
"1942-10",117
"1942-11",162
"1942-12",272
"1943-01",395
"1943-02",552
"1943-03",926
"1943-04",1062
"1943-05",1070
"1943-06",846
"1943-07",355
"1943-08",172
"1943-09",109
"1943-10",94
"1943-11",184
"1943-12",245
"1944-01",324
"1944-02",433
"1944-03",752
"1944-04",845
"1944-05",859
"1944-06",671
"1944-07",275
"1944-08",134
"1944-09",75
"1944-10",104
"1944-11",161
"1944-12",237
"1945-01",330
"1945-02",467
"1945-03",707
"1945-04",667
"1945-05",711
"1945-06",793
"1945-07",429
"1945-08",211
"1945-09",140
"1945-10",207
"1945-11",251
"1945-12",289
"1946-01",433
"1946-02",468
"1946-03",799
"1946-04",1138
"1946-05",1048
"1946-06",710
"1946-07",438
"1946-08",178
"1946-09",114
"1946-10",118
"1946-11",175
"1946-12",206
"1947-01",412
"1947-02",477
"1947-03",641
"1947-04",814
"1947-05",846
"1947-06",883
"1947-07",591
"1947-08",208
"1947-09",177
"1947-10",221
"1947-11",311
"1947-12",680
"1948-01",1105
"1948-02",1490
"1948-03",1956
"1948-04",1713
"1948-05",1291
"1948-06",1053
"1948-07",366
"1948-08",153
"1948-09",95
"1948-10",117
"1948-11",130
"1948-12",183
"1949-01",312
"1949-02",417
"1949-03",596
"1949-04",554
"1949-05",510
"1949-06",527
"1949-07",290
"1949-08",162
"1949-09",96
"1949-10",97
"1949-11",191
"1949-12",353
"1950-01",604
"1950-02",767
"1950-03",1116
"1950-04",1103
"1950-05",1330
"1950-06",1342
"1950-07",670
"1950-08",319
"1950-09",167
"1950-10",176
"1950-11",261
"1950-12",363
"1951-01",616
"1951-02",634
"1951-03",808
"1951-04",902
"1951-05",1003
"1951-06",833
"1951-07",475
"1951-08",243
"1951-09",167
"1951-10",152
"1951-11",182
"1951-12",279
"1952-01",520
"1952-02",615
"1952-03",745
"1952-04",838
"1952-05",787
"1952-06",827
"1952-07",570
"1952-08",254
"1952-09",182
"1952-10",185
"1952-11",268
"1952-12",530
"1953-01",813
"1953-02",785
"1953-03",1266
"1953-04",1495
"1953-05",1659
"1953-06",1532
"1953-07",1071
"1953-08",458
"1953-09",265
"1953-10",230
"1953-11",299
"1953-12",634
"1954-01",802
"1954-02",945
"1954-03",1220
"1954-04",1088
"1954-05",792
"1954-06",707
"1954-07",420
"1954-08",199
"1954-09",134
"1954-10",123
"1954-11",176
"1954-12",284
"1955-01",371
"1955-02",491
"1955-03",851
"1955-04",923
"1955-05",882
"1955-06",945
"1955-07",561
"1955-08",324
"1955-09",205
"1955-10",225
"1955-11",470
"1955-12",657
"1956-01",1066
"1956-02",1371
"1956-03",1674
"1956-04",1844
"1956-05",1819
"1956-06",1469
"1956-07",769
"1956-08",393
"1956-09",176
"1956-10",240
"1956-11",299
"1956-12",375
"1957-01",584
"1957-02",490
"1957-03",702
"1957-04",769
"1957-05",765
"1957-06",601
"1957-07",389
"1957-08",217
"1957-09",165
"1957-10",120
"1957-11",137
"1957-12",204
"1958-01",288
"1958-02",348
"1958-03",515
"1958-04",774
"1958-05",751
"1958-06",711
"1958-07",555
"1958-08",280
"1958-09",182
"1958-10",160
"1958-11",255
"1958-12",565
"1959-01",753
"1959-02",890
"1959-03",1183
"1959-04",1117
"1959-05",983
"1959-06",988
"1959-07",573
"1959-08",278
"1959-09",219
"1959-10",171
"1959-11",270
"1959-12",415
"1960-01",510
"1960-02",587
"1960-03",721
"1960-04",754
"1960-05",699
"1960-06",667
"1960-07",355
"1960-08",230
"1960-09",145
"1960-10",129
"1960-11",235
"1960-12",263
"1961-01",361
"1961-02",350
"1961-03",551
"1961-04",488
"1961-05",631
"1961-06",717
"1961-07",452
"1961-08",293
"1961-09",165
"1961-10",180
"1961-11",230
"1961-12",276
"1962-01",435
"1962-02",487
"1962-03",563
"1962-04",608
"1962-05",803
"1962-06",615
"1962-07",554
"1962-08",297
"1962-09",166
"1962-10",213
"1962-11",303
"1962-12",517
"1963-01",703
"1963-02",735
"1963-03",1037
"1963-04",1078
"1963-05",954
"1963-06",729
"1963-07",552
"1963-08",321
"1963-09",166
"1963-10",177
"1963-11",216
"1963-12",310
"1964-01",342
"1964-02",268
"1964-03",304
"1964-04",280
"1964-05",286
"1964-06",280
"1964-07",213
"1964-08",143
"1964-09",101
"1964-10",117
"1964-11",132
"1964-12",277
"1965-01",280
"1965-02",424
"1965-03",668
"1965-04",635
"1965-05",701
"1965-06",926
"1965-07",706
"1965-08",493
"1965-09",309
"1965-10",259
"1965-11",324
"1965-12",541
"1966-01",569
"1966-02",672
"1966-03",1020
"1966-04",848
"1966-05",754
"1966-06",765
"1966-07",437
"1966-08",255
"1966-09",166
"1966-10",130
"1966-11",165
"1966-12",166
"1967-01",235
"1967-02",261
"1967-03",390
"1967-04",424
"1967-05",500
"1967-06",440
"1967-07",294
"1967-08",167
"1967-09",126
"1967-10",124
"1967-11",162
"1967-12",182
"1968-01",274
"1968-02",349
"1968-03",420
"1968-04",607
"1968-05",572
"1968-06",496
"1968-07",415
"1968-08",240
"1968-09",158
"1968-10",124
"1968-11",135
"1968-12",100
"1969-01",164
"1969-02",148
"1969-03",298
"1969-04",506
"1969-05",567
"1969-06",639
"1969-07",447
"1969-08",283
"1969-09",158
"1969-10",223
"1969-11",212
"1969-12",333
"1970-01",330
"1970-02",281
"1970-03",354
"1970-04",527
"1970-05",463
"1970-06",429
"1970-07",300
"1970-08",147
"1970-09",104
"1970-10",90
"1970-11",77
"1970-12",122
"1971-01",146
"1971-02",149
"1971-03",248
"1971-04",300
"1971-05",223
"1971-06",294
"1971-07",235
"1971-08",110
"1971-09",88
"1971-10",68
