"Month","Monthly reported number of chickenpox, New York city, 1931-1972"
"1931-01",956
"1931-02",927
"1931-03",1585
"1931-04",1536
"1931-05",1448
"1931-06",1272
"1931-07",303
"1931-08",68
"1931-09",62
"1931-10",116
"1931-11",275
"1931-12",565
"1932-01",922
"1932-02",928
"1932-03",925
"1932-04",1121
"1932-05",1282
"1932-06",1142
"1932-07",411
"1932-08",114
"1932-09",82
"1932-10",220
"1932-11",646
"1932-12",1069
"1933-01",1320
"1933-02",1473
"1933-03",2305
"1933-04",2094
"1933-05",1694
"1933-06",1043
"1933-07",390
"1933-08",127
"1933-09",56
"1933-10",148
"1933-11",426
"1933-12",890
"1934-01",1500
"1934-02",1442
"1934-03",1799
"1934-04",1556
"1934-05",1926
"1934-06",1635
"1934-07",379
"1934-08",90
"1934-09",68
"1934-10",210
"1934-11",667
"1934-12",905
"1935-01",1124
"1935-02",1192
"1935-03",1850
"1935-04",1941
"1935-05",1505
"1935-06",1016
"1935-07",429
"1935-08",58
"1935-09",78
"1935-10",251
"1935-11",605
"1935-12",817
"1936-01",970
"1936-02",860
"1936-03",977
"1936-04",1143
"1936-05",920
"1936-06",940
"1936-07",426
"1936-08",193
"1936-09",99
"1936-10",186
"1936-11",525
"1936-12",1085
"1937-01",1220
"1937-02",1157
"1937-03",1974
"1937-04",2301
"1937-05",2277
"1937-06",1746
"1937-07",413
"1937-08",129
"1937-09",78
"1937-10",160
"1937-11",448
"1937-12",820
"1938-01",1154
"1938-02",1277
"1938-03",1841
"1938-04",1981
"1938-05",1304
"1938-06",1288
"1938-07",387
"1938-08",114
"1938-09",97
"1938-10",278
"1938-11",604
"1938-12",787
"1939-01",1010
"1939-02",968
"1939-03",1195
"1939-04",1200
"1939-05",1218
"1939-06",1183
"1939-07",334
"1939-08",145
"1939-09",66
"1939-10",252
"1939-11",536
"1939-12",996
"1940-01",1624
"1940-02",1626
"1940-03",1603
"1940-04",1740
"1940-05",1900
"1940-06",1424
"1940-07",711
"1940-08",191
"1940-09",135
"1940-10",302
"1940-11",612
"1940-12",1178
"1941-01",1409
"1941-02",1218
"1941-03",1543
"1941-04",1477
"1941-05",987
"1941-06",935
"1941-07",495
"1941-08",126
"1941-09",109
"1941-10",197
"1941-11",397
"1941-12",880
"1942-01",1097
"1942-02",1164
"1942-03",1652
"1942-04",1800
"1942-05",1941
"1942-06",1419
"1942-07",444
"1942-08",136
"1942-09",70
"1942-10",171
"1942-11",424
"1942-12",660
"1943-01",1050
"1943-02",1177
"1943-03",1559
"1943-04",1513
"1943-05",1371
"1943-06",1042
"1943-07",205
"1943-08",67
"1943-09",83
"1943-10",143
"1943-11",469
"1943-12",611
"1944-01",745
"1944-02",1039
"1944-03",1389
"1944-04",1284
"1944-05",1288
"1944-06",871
"1944-07",299
"1944-08",87
"1944-09",89
"1944-10",155
"1944-11",446
"1944-12",749
"1945-01",1037
"1945-02",1080
"1945-03",1289
"1945-04",1211
"1945-05",1076
"1945-06",1080
"1945-07",372
"1945-08",132
"1945-09",78
"1945-10",133
"1945-11",203
"1945-12",214
"1946-01",347
"1946-02",407
"1946-03",780
"1946-04",1182
"1946-05",1082
"1946-06",899
"1946-07",479
"1946-08",123
"1946-09",86
"1946-10",180
"1946-11",326
"1946-12",695
"1947-01",1235
"1947-02",1399
"1947-03",1854
"1947-04",2406
"1947-05",2026
"1947-06",1378
"1947-07",522
"1947-08",136
"1947-09",76
"1947-10",109
"1947-11",259
"1947-12",521
"1948-01",996
"1948-02",1174
"1948-03",1751
"1948-04",1554
"1948-05",1428
"1948-06",1308
"1948-07",438
"1948-08",150
"1948-09",88
"1948-10",151
"1948-11",395
"1948-12",781
"1949-01",1389
"1949-02",2059
"1949-03",3058
"1949-04",2589
"1949-05",1488
"1949-06",1048
"1949-07",253
"1949-08",82
"1949-09",79
"1949-10",125
"1949-11",226
"1949-12",470
"1950-01",936
"1950-02",1026
"1950-03",1244
"1950-04",935
"1950-05",1079
"1950-06",884
"1950-07",349
"1950-08",144
"1950-09",79
"1950-10",260
"1950-11",445
"1950-12",592
"1951-01",1427
"1951-02",1545
"1951-03",1951
"1951-04",2200
"1951-05",1964
"1951-06",1284
"1951-07",523
"1951-08",142
"1951-09",93
"1951-10",148
"1951-11",198
"1951-12",374
"1952-01",915
"1952-02",963
"1952-03",1154
"1952-04",1393
"1952-05",1227
"1952-06",1158
"1952-07",478
"1952-08",84
"1952-09",44
"1952-10",113
"1952-11",331
"1952-12",1052
"1953-01",1747
"1953-02",1796
"1953-03",2625
"1953-04",2411
"1953-05",1877
"1953-06",1052
"1953-07",543
"1953-08",110
"1953-09",67
"1953-10",124
"1953-11",160
"1953-12",430
"1954-01",726
"1954-02",1101
"1954-03",1769
"1954-04",1599
"1954-05",1035
"1954-06",988
"1954-07",424
"1954-08",147
"1954-09",76
"1954-10",105
"1954-11",281
"1954-12",524
"1955-01",1044
"1955-02",1247
"1955-03",2023
"1955-04",1903
"1955-05",1653
"1955-06",1247
"1955-07",372
"1955-08",107
"1955-09",75
