"Month","Monthly Southern oscillation index measured as the difference in sea-surface air pressure between Darwin and Tahiti. Jan 1882 ? May 1993."
"1882-01",-7.5
"1882-02",-2.2
"1882-03",3.6
"1882-04",0.6
"1882-05",6.9
"1882-06",-10.9
"1882-07",-19.8
"1882-08",-24
"1882-09",-14.1
"1882-10",-2.2
"1882-11",2.3
"1882-12",9
"1883-01",5.5
"1883-02",8.6
"1883-03",-23.3
"1883-04",12.3
"1883-05",13.6
"1883-06",2.4
"1883-07",-9.5
"1883-08",1.5
"1883-09",-7.7
"1883-10",5.4
"1883-11",4.9
"1883-12",-16.5
"1884-01",-13.2
"1884-02",-6.2
"1884-03",7.4
"1884-04",-14
"1884-05",1.8
"1884-06",7.2
"1884-07",-2.8
"1884-08",-4.6
"1884-09",-6.5
"1884-10",4.7
"1884-11",-1.5
"1884-12",-13.9
"1885-01",-17.1
"1885-02",0.7
"1885-03",3.6
"1885-04",-0.8
"1885-05",-3.4
"1885-06",-13
"1885-07",-4.6
"1885-08",-8.9
"1885-09",-3.6
"1885-10",-17.9
"1885-11",-15.4
"1885-12",3.9
"1886-01",-1.2
"1886-02",0.7
"1886-03",1.7
"1886-04",3.5
"1886-05",6.2
"1886-06",3.8
"1886-07",6.9
"1886-08",13
"1886-09",13.4
"1886-10",14.2
"1886-11",9.9
"1886-12",13
"1887-01",11.7
"1887-02",10.6
"1887-03",7.9
"1887-04",7.9
"1887-05",-3.4
"1887-06",3.8
"1887-07",4.5
"1887-08",4.5
"1887-09",5.2
"1887-10",5.4
"1887-11",-5.3
"1887-12",3.9
"1888-01",-3.6
"1888-02",-3.2
"1888-03",-11.3
"1888-04",-21.3
"1888-05",-8.5
"1888-06",-14.4
"1888-07",-15.5
"1888-08",-8.2
"1888-09",-8.8
"1888-10",-14.8
"1888-11",-12.3
"1888-12",-3.8
"1889-01",-26.6
"1889-02",-2.7
"1889-03",-25.3
"1889-04",-0.8
"1889-05",-1.2
"1889-06",18.4
"1889-07",1.4
"1889-08",2.1
"1889-09",11.1
"1889-10",4.7
"1889-11",22
"1889-12",20.7
"1890-01",20.3
"1890-02",10.6
"1890-03",11.8
"1890-04",5.7
"1890-05",4
"1890-06",4.5
"1890-07",-2.2
"1890-08",-2.8
"1890-09",9.3
"1890-10",4.1
"1890-11",2.3
"1890-12",-0.7
"1891-01",15.1
"1891-02",-4.7
"1891-03",-9.4
"1891-04",3.5
"1891-05",0.3
"1891-06",-1.8
"1891-07",-5.8
"1891-08",-8.2
"1891-09",-10
"1891-10",1
"1891-11",-4.6
"1891-12",-5.8
"1892-01",2.1
"1892-02",-11.6
"1892-03",8.9
"1892-04",5.7
"1892-05",9.9
"1892-06",16.3
"1892-07",6.9
"1892-08",5.7
"1896-01",0.7
"1896-02",4.2
"1896-03",-6.5
"1896-04",-8.2
"1896-05",-38.8
"1896-06",-27
"1896-07",-19.1
"1896-08",-21
"1896-09",-18.2
"1896-10",-19.2
"1896-11",-11.6
"1896-12",-15.5
"1897-01",-13.2
"1897-02",-8.6
"1897-03",-15.6
"1897-04",-16.2
"1897-05",-15.2
"1897-06",-0.4
"1897-07",-2.2
"1897-08",0.9
"1897-09",0.5
"1897-10",2.2
"1897-11",-7.8
"1897-12",9
"1898-01",6.4
"1898-02",5.7
"1898-03",15.1
"1898-04",9.4
"1898-05",-1.2
"1898-06",-2.5
"1898-07",5.7
"1898-08",2.1
"1898-09",3.5
"1898-10",-0.3
"1898-11",-2.7
"1898-12",-1.7
"1899-01",12.7
"1899-02",8.6
"1899-03",11.3
"1899-04",3.5
"1899-05",-6.3
"1899-06",-9.5
"1899-07",-5.2
"1899-08",-9.5
"1899-09",-1.2
"1899-10",6.6
"1899-11",15
"1899-12",-4.3
"1900-01",-7.9
"1900-02",-7.6
"1900-03",-23.3
"1900-04",-16.9
"1900-05",-6.3
"1900-06",21.9
"1900-07",9.3
"1900-08",7.5
"1900-09",-15.9
"1900-10",-17.3
"1900-11",-5.9
"1900-12",-6.8
"1901-01",-0.8
"1901-02",2.2
"1901-03",7.4
"1901-04",3.5
"1901-05",0.3
"1901-06",16.3
"1901-07",13.6
"1901-08",9.4
"1901-09",-15.3
"1901-10",-22.3
"1901-11",-8.5
"1901-12",-3.2
"1902-01",16.5
"1902-02",-3.2
"1902-03",9.4
"1902-04",6.5
"1902-05",7.7
"1902-06",1.7
"1902-07",1.4
"1902-08",-8.2
"1902-09",-17.1
"1902-10",-7.2
"1902-11",-3.4
"1902-12",-4.3
"1903-01",-9.9
"1903-02",-11.6
"1903-03",14.6
"1903-04",15.2
"1903-05",7.7
"1903-06",-1.1
