"Month","Monthly Sutter county workforce, Jan.1946 ? Dec.1966 priesema (1979)"
"1946-01",890
"1946-02",992
"1946-03",979
"1946-04",959
"1946-05",1110
"1946-06",1546
"1946-07",1539
"1946-08",3401
"1946-09",2092
"1946-10",1436
"1946-11",1301
"1946-12",1287
"1947-01",1488
"1947-02",1517
"1947-03",1707
"1947-04",1729
"1947-05",1788
"1947-06",2008
"1947-07",2203
"1947-08",3713
"1947-09",2946
"1947-10",2082
"1947-11",2033
"1947-12",1937
"1948-01",1711
"1948-02",1775
"1948-03",1902
"1948-04",1846
"1948-05",2083
"1948-06",2262
"1948-07",2193
"1948-08",3792
"1948-09",2343
"1948-10",2313
"1948-11",2179
"1948-12",1975
"1949-01",1880
"1949-02",1930
"1949-03",2060
"1949-04",1843
"1949-05",2052
"1949-06",2039
"1949-07",2351
"1949-08",3394
"1949-09",3581
"1949-10",2489
"1949-11",2468
"1949-12",2134
"1950-01",1903
"1950-02",1719
"1950-03",1617
"1950-04",1818
"1950-05",2067
"1950-06",2457
"1950-07",2600
"1950-08",3530
"1950-09",2693
"1950-10",2448
"1950-11",2250
"1950-12",1972
"1951-01",1682
"1951-02",1730
"1951-03",1814
"1951-04",1900
"1951-05",2051
"1951-06",2290
"1951-07",2599
"1951-08",3428
"1951-09",2262
"1951-10",2242
"1951-11",2103
"1951-12",1825
"1952-01",1670
"1952-02",1681
"1952-03",1713
"1952-04",1954
"1952-05",1876
"1952-06",2272
"1952-07",2612
"1952-08",3590
"1952-09",2496
"1952-10",2441
"1952-11",2340
"1952-12",2090
"1953-01",1812
"1953-02",1788
"1953-03",1837
"1953-04",1993
"1953-05",2021
"1953-06",2199
"1953-07",2622
"1953-08",3787
"1953-09",2914
"1953-10",2487
"1953-11",2314
"1953-12",2139
"1954-01",2124
"1954-02",2214
"1954-03",2234
"1954-04",2279
"1954-05",2423
"1954-06",2290
"1954-07",2903
"1954-08",4485
"1954-09",3085
"1954-10",2852
"1954-11",2629
"1954-12",2435
"1955-01",2227
"1955-02",1944
"1955-03",2125
"1955-04",2260
"1955-05",2299
"1955-06",2323
"1955-07",2659
"1955-08",3761
"1955-09",2779
"1955-10",2761
"1955-11",2446
"1955-12",2278
"1956-01",1879
"1956-02",1881
"1956-03",2165
"1956-04",2199
"1956-05",2308
"1956-06",2529
"1956-07",2573
"1956-08",3946
"1956-09",3200
"1956-10",2574
"1956-11",2422
"1956-12",2446
"1957-01",2828
"1957-02",2879
"1957-03",2800
"1957-04",2835
"1957-05",2585
"1957-06",2787
"1957-07",3334
"1957-08",4746
"1957-09",3613
"1957-10",3463
"1957-11",3274
"1957-12",2801
"1958-01",2488
"1958-02",2386
"1958-03",2428
"1958-04",2678
"1958-05",2744
"1958-06",2772
"1958-07",3520
"1958-08",3833
"1958-09",3377
"1958-10",3013
"1958-11",2871
"1958-12",2592
"1959-01",2375
"1959-02",2304
"1959-03",2464
"1959-04",2557
"1959-05",2739
"1959-06",2714
"1959-07",3102
"1959-08",3961
"1959-09",3772
"1959-10",3245
"1959-11",3104
"1959-12",2869
"1960-01",2513
"1960-02",2385
"1960-03",2756
"1960-04",2927
"1960-05",2940
"1960-06",3180
"1960-07",3791
"1960-08",4093
"1960-09",4309
"1960-10",3532
"1960-11",3408
"1960-12",2839
"1961-01",2792
"1961-02",2798
"1961-03",3007
"1961-04",3086
"1961-05",3201
"1961-06",3428
"1961-07",3754
"1961-08",4917
"1961-09",3760
"1961-10",3609
"1961-11",3471
"1961-12",3347
"1962-01",3333
"1962-02",3456
"1962-03",3569
"1962-04",3900
"1962-05",3909
"1962-06",4098
"1962-07",4826
"1962-08",5770
"1962-09",5108
"1962-10",4360
"1962-11",4100
"1962-12",3562
"1963-01",3284
"1963-02",3278
"1963-03",3424
"1963-04",3843
"1963-05",3614
"1963-06",3536
"1963-07",4505
"1963-08",5456
"1963-09",4881
"1963-10",4041
"1963-11",3724
"1963-12",3525
"1964-01",3437
"1964-02",3324
"1964-03",3977
"1964-04",4025
"1964-05",4016
"1964-06",4031
"1964-07",4489
"1964-08",5563
"1964-09",5709
"1964-10",4620
"1964-11",4160
"1964-12",4012
"1965-01",3987
"1965-02",4155
"1965-03",4054
"1965-04",4485
"1965-05",4558
"1965-06",4462
"1965-07",4594
"1965-08",6481
"1965-09",6345
"1965-10",5142
"1965-11",4824
"1965-12",4573
"1966-01",4158
"1966-02",4140
"1966-03",4251
"1966-04",4734
"1966-05",4858
"1966-06",4798
"1966-07",5080
"1966-08",6905
"1966-09",5504
"1966-10",5457
"1966-11",5198
"1966-12",4890

Monthly Sutter county workforce, Jan.1946 ? Dec.1966 priesema (1979)

