"Month","Monthly traffic fatalities in Ontario 1960-1974"
"1960-01",61
"1960-02",65
"1960-03",55
"1960-04",56
"1960-05",91
"1960-06",80
"1960-07",135
"1960-08",129
"1960-09",129
"1960-10",130
"1960-11",109
"1960-12",126
"1961-01",73
"1961-02",68
"1961-03",74
"1961-04",95
"1961-05",105
"1961-06",108
"1961-07",127
"1961-08",108
"1961-09",126
"1961-10",154
"1961-11",127
"1961-12",103
"1962-01",95
"1962-02",59
"1962-03",68
"1962-04",82
"1962-05",92
"1962-06",124
"1962-07",139
"1962-08",167
"1962-09",138
"1962-10",146
"1962-11",128
"1962-12",145
"1963-01",91
"1963-02",66
"1963-03",89
"1963-04",98
"1963-05",113
"1963-06",130
"1963-07",127
"1963-08",157
"1963-09",157
"1963-10",136
"1963-11",145
"1963-12",112
"1964-01",71
"1964-02",95
"1964-03",95
"1964-04",105
"1964-05",116
"1964-06",104
"1964-07",128
"1964-08",181
"1964-09",130
"1964-10",124
"1964-11",123
"1964-12",152
"1965-01",85
"1965-02",86
"1965-03",101
"1965-04",105
"1965-05",135
"1965-06",142
"1965-07",138
"1965-08",190
"1965-09",129
"1965-10",175
"1965-11",146
"1965-12",179
"1966-01",103
"1966-02",104
"1966-03",80
"1966-04",108
"1966-05",125
"1966-06",134
"1966-07",150
"1966-08",149
"1966-09",148
"1966-10",167
"1966-11",160
"1966-12",168
"1967-01",99
"1967-02",102
"1967-03",98
"1967-04",104
"1967-05",114
"1967-06",165
"1967-07",184
"1967-08",161
"1967-09",205
"1967-10",189
"1967-11",152
"1967-12",146
"1968-01",72
"1968-02",83
"1968-03",97
"1968-04",105
"1968-05",134
"1968-06",145
"1968-07",172
"1968-08",175
"1968-09",149
"1968-10",166
"1968-11",142
"1968-12",146
"1969-01",111
"1969-02",84
"1969-03",116
"1969-04",102
"1969-05",153
"1969-06",176
"1969-07",145
"1969-08",175
"1969-09",147
"1969-10",174
"1969-11",169
"1969-12",131
"1970-01",81
"1970-02",85
"1970-03",107
"1970-04",111
"1970-05",135
"1970-06",114
"1970-07",150
"1970-08",156
"1970-09",146
"1970-10",166
"1970-11",154
"1970-12",130
"1971-01",92
"1971-02",80
"1971-03",87
"1971-04",101
"1971-05",130
"1971-06",151
"1971-07",195
"1971-08",224
"1971-09",191
"1971-10",188
"1971-11",169
"1971-12",161
"1972-01",121
"1972-02",89
"1972-03",105
"1972-04",134
"1972-05",155
"1972-06",203
"1972-07",192
"1972-08",195
"1972-09",225
"1972-10",186
"1972-11",172
"1972-12",157
"1973-01",130
"1973-02",84
"1973-03",122
"1973-04",116
"1973-05",147
"1973-06",183
"1973-07",211
"1973-08",256
"1973-09",207
"1973-10",196
"1973-11",153
"1973-12",154
"1974-01",94
"1974-02",89
"1974-03",118
"1974-04",101
"1974-05",150
"1974-06",150
"1974-07",191
"1974-08",214
"1974-09",173
"1974-10",170
"1974-11",175
"1974-12",123

Monthly traffic fatalities in Ontario 1960-1974

