"Month","Monthly U.S. auto registration (thousands) 1947 ? 1968"
"1947-01",209
"1947-02",214
"1947-03",265
"1947-04",290
"1947-05",287
"1947-06",270
"1947-07",263
"1947-08",265
"1947-09",252
"1947-10",281
"1947-11",259
"1947-12",312
"1948-01",275
"1948-02",250
"1948-03",312
"1948-04",331
"1948-05",256
"1948-06",247
"1948-07",291
"1948-08",318
"1948-09",296
"1948-10",291
"1948-11",313
"1948-12",311
"1949-01",273
"1949-02",258
"1949-03",361
"1949-04",391
"1949-05",446
"1949-06",433
"1949-07",449
"1949-08",479
"1949-09",460
"1949-10",466
"1949-11",410
"1949-12",415
"1950-01",382
"1950-02",409
"1950-03",496
"1950-04",471
"1950-05",488
"1950-06",584
"1950-07",610
"1950-08",684
"1950-09",626
"1950-10",580
"1950-11",444
"1950-12",552
"1951-01",473
"1951-02",431
"1951-03",513
"1951-04",467
"1951-05",470
"1951-06",455
"1951-07",406
"1951-08",424
"1951-09",406
"1951-10",373
"1951-11",332
"1951-12",310
"1952-01",301
"1952-02",296
"1952-03",333
"1952-04",374
"1952-05",422
"1952-06",424
"1952-07",341
"1952-08",216
"1952-09",319
"1952-10",383
"1952-11",360
"1952-12",400
"1953-01",386
"1953-02",397
"1953-03",486
"1953-04",528
"1953-05",541
"1953-06",542
"1953-07",534
"1953-08",502
"1953-09",454
"1953-10",505
"1953-11",450
"1953-12",414
"1954-01",341
"1954-02",370
"1954-03",481
"1954-04",508
"1954-05",521
"1954-06",597
"1954-07",474
"1954-08",440
"1954-09",408
"1954-10",396
"1954-11",381
"1954-12",657
"1955-01",440
"1955-02",477
"1955-03",637
"1955-04",652
"1955-05",661
"1955-06",681
"1955-07",647
"1955-08",659
"1955-09",655
"1955-10",576
"1955-11",509
"1955-12",631
"1956-01",432
"1956-02",448
"1956-03",545
"1956-04",564
"1956-05",560
"1956-06",540
"1956-07",535
"1956-08",568
"1956-09",421
"1956-10",424
"1956-11",404
"1956-12",514
"1957-01",437
"1957-02",439
"1957-03",573
"1957-04",549
"1957-05",556
"1957-06",517
"1957-07",543
"1957-08",492
"1957-09",495
"1957-10",464
"1957-11",409
"1957-12",512
"1958-01",382
"1958-02",334
"1958-03",401
"1958-04",418
"1958-05",424
"1958-06",411
"1958-07",400
"1958-08",371
"1958-09",317
"1958-10",321
"1958-11",335
"1958-12",511
"1959-01",421
"1959-02",425
"1959-03",498
"1959-04",575
"1959-05",584
"1959-06",586
"1959-07",567
"1959-08",534
"1959-09",458
"1959-10",535
"1959-11",429
"1959-12",431
"1960-01",430
"1960-02",494
"1960-03",597
"1960-04",647
"1960-05",647
"1960-06",596
"1960-07",547
"1960-08",525
"1960-09",459
"1960-10",548
"1960-11",543
"1960-12",544
"1961-01",414
"1961-02",375
"1961-03",480
"1961-04",496
"1961-05",544
"1961-06",572
"1961-07",501
"1961-08",471
"1961-09",371
"1961-10",550
"1961-11",558
"1961-12",526
"1962-01",506
"1962-02",473
"1962-03",592
"1962-04",635
"1962-05",644
"1962-06",602
"1962-07",614
"1962-08",540
"1962-09",374
"1962-10",678
"1962-11",638
"1962-12",644
"1963-01",554
"1963-02",498
"1963-03",624
"1963-04",759
"1963-05",715
"1963-06",692
"1963-07",706
"1963-08",553
"1963-09",404
"1963-10",715
"1963-11",640
"1963-12",712
"1964-01",612
"1964-02",552
"1964-03",637
"1964-04",812
"1964-05",781
"1964-06",754
"1964-07",724
"1964-08",649
"1964-09",565
"1964-10",659
"1964-11",564
"1964-12",757
"1965-01",667
"1965-02",631
"1965-03",799
"1965-04",896
"1965-05",841
"1965-06",842
"1965-07",834
"1965-08",767
"1965-09",590
"1965-10",746
"1965-11",794
"1965-12",909
"1966-01",607
"1966-02",722
"1966-03",879
"1966-04",823
"1966-05",777
"1966-06",753
"1966-07",833
"1966-08",744
"1966-09",574
"1966-10",767
"1966-11",732
"1966-12",808
"1967-01",616
"1967-02",539
"1967-03",671
"1967-04",786
"1967-05",822
"1967-06",806
"1967-07",753
"1967-08",726
"1967-09",550
"1967-10",710
"1967-11",643
"1967-12",738
"1968-01",658
"1968-02",605
"1968-03",725
"1968-04",859
"1968-05",824
"1968-06",801
"1968-07",872
"1968-08",744
"1968-09",705
"1968-10",880
"1968-11",757
"1968-12",977

Monthly U.S. auto registration (thousands) 1947 ? 1968

