"Month","Monthly water usage (ml/day), London Ontario, 1966-1988"
"1966-01",76.83
"1966-02",77.74
"1966-03",80.47
"1966-04",79.56
"1966-05",82.28
"1966-06",100.92
"1966-07",113.2
"1966-08",90.92
"1966-09",86.83
"1966-10",82.74
"1966-11",83.65
"1966-12",80.92
"1967-01",83.19
"1967-02",83.65
"1967-03",83.65
"1967-04",83.65
"1967-05",86.83
"1967-06",100.47
"1967-07",91.38
"1967-08",101.38
"1967-09",95.92
"1967-10",88.19
"1967-11",88.19
"1967-12",80.47
"1968-01",80.92
"1968-02",79.56
"1968-03",80.92
"1968-04",88.19
"1968-05",91.83
"1968-06",96.38
"1968-07",97.29
"1968-08",102.29
"1968-09",99.1
"1968-10",92.74
"1968-11",87.29
"1968-12",85.47
"1969-01",91.38
"1969-02",92.74
"1969-03",89.56
"1969-04",88.65
"1969-05",93.2
"1969-06",99.56
"1969-07",109.11
"1969-08",124.56
"1969-09",115.47
"1969-10",96.38
"1969-11",92.29
"1969-12",86.83
"1970-01",87.29
"1970-02",85.92
"1970-03",85.92
"1970-04",88.65
"1970-05",91.83
"1970-06",112.29
"1970-07",101.83
"1970-08",125.02
"1970-09",102.74
"1970-10",95.01
"1970-11",91.83
"1970-12",86.38
"1971-01",87.29
"1971-02",88.19
"1971-03",89.1
"1971-04",89.1
"1971-05",103.65
"1971-06",127.75
"1971-07",125.47
"1971-08",125.47
"1971-09",109.11
"1971-10",100.01
"1971-11",95.01
"1971-12",85.01
"1972-01",86.83
"1972-02",86.83
"1972-03",86.83
"1972-04",86.83
"1972-05",100.47
"1972-06",111.38
"1972-07",105.47
"1972-08",102.74
"1972-09",105.01
"1972-10",96.38
"1972-11",94.1
"1972-12",86.83
"1973-01",92.74
"1973-02",93.2
"1973-03",95.47
"1973-04",96.38
"1973-05",99.56
"1973-06",120.47
"1973-07",123.2
"1973-08",114.11
"1973-09",120.93
"1973-10",102.74
"1973-11",101.83
"1973-12",95.47
"1974-01",100.01
"1974-02",100.01
"1974-03",98.2
"1974-04",100.01
"1974-05",103.65
"1974-06",114.56
"1974-07",134.11
"1974-08",131.84
"1974-09",113.65
"1974-10",107.29
"1974-11",102.29
"1974-12",94.56
"1975-01",97.29
"1975-02",98.2
"1975-03",95.47
"1975-04",100.47
"1975-05",116.38
"1975-06",117.29
"1975-07",140.93
"1975-08",120.02
"1975-09",111.38
"1975-10",108.65
"1975-11",105.92
"1975-12",99.1
"1976-01",101.83
"1976-02",102.74
"1976-03",102.74
"1976-04",105.47
"1976-05",108.65
"1976-06",139.57
"1976-07",110.47
"1976-08",118.65
"1976-09",120.02
"1976-10",109.11
"1976-11",108.2
"1976-12",101.38
"1977-01",106.38
"1977-02",108.65
"1977-03",107.74
"1977-04",105.92
"1977-05",129.56
"1977-06",139.11
"1977-07",125.93
"1977-08",123.65
"1977-09",118.65
"1977-10",110.47
"1977-11",110.02
"1977-12",100.47
"1978-01",104.1
"1978-02",106.6
"1978-03",105.5
"1978-04",107.5
"1978-05",117.9
"1978-06",136.3
"1978-07",156.8
"1978-08",135.8
"1978-09",130
"1978-10",117.5
"1978-11",115.8
"1978-12",105.5
"1979-01",111.6
"1979-02",113.2
"1979-03",113.1
"1979-04",112.5
"1979-05",120
"1979-06",147.6
"1979-07",149.9
"1979-08",131.2
"1979-09",134.6
"1979-10",122.2
"1979-11",117.7
"1979-12",106.8
"1980-01",111.5
"1980-02",111.3
"1980-03",109.5
"1980-04",112.1
"1980-05",127
"1980-06",135.9
"1980-07",150.4
"1980-08",135.6
"1980-09",134.9
"1980-10",124.1
"1980-11",120.8
"1980-12",112.8
"1981-01",117.4
"1981-02",118.6
"1981-03",119.2
"1981-04",119.7
"1981-05",128.6
"1981-06",142.8
"1981-07",170
"1981-08",145.9
"1981-09",140.1
"1981-10",128.7
"1981-11",123.4
"1981-12",114.6
"1982-01",120.2
"1982-02",122
"1982-03",121.3
"1982-04",123.2
"1982-05",141.1
"1982-06",129.7
"1982-07",152.4
"1982-08",141.9
"1982-09",137
"1982-10",129
"1982-11",124.6
"1982-12",117.3
"1983-01",122.7
"1983-02",121
"1983-03",122
"1983-04",122
"1983-05",126.3
"1983-06",158.1
"1983-07",164.9
"1983-08",143.3
"1983-09",151.4
"1983-10",136.8
"1983-11",133.1
"1983-12",124.8
"1984-01",132.6
"1984-02",130.2
"1984-03",129.6
"1984-04",129.7
"1984-05",133.7
"1984-06",148.3
"1984-07",155.1
"1984-08",157.2
"1984-09",147.2
"1984-10",142.7
"1984-11",135.9
"1984-12",123.8
"1985-01",132.3
"1985-02",132.7
"1985-03",130.7
"1985-04",129.9
"1985-05",145.5
"1985-06",156.6
"1985-07",161.7
"1985-08",156
"1985-09",146.1
"1985-10",136.8
"1985-11",132.5
"1985-12",129.5
"1986-01",129.5
"1986-02",134.7
"1986-03",136.6
"1986-04",138.4
"1986-05",149.6
"1986-06",159.5
"1986-07",171.4
"1986-08",162.1
"1986-09",163.1
"1986-10",152.4
"1986-11",145.5
"1986-12",133.9
"1987-01",136.6
"1987-02",139.4
"1987-03",141.2
"1987-04",144.9
"1987-05",181.4
"1987-06",187
"1987-07",211.4
"1987-08",178.1
"1987-09",168
"1987-10",154.4
"1987-11",150.4
"1987-12",139.4
"1988-01",144.7
"1988-02",143
"1988-03",148.3
"1988-04",152.7
"1988-05",173.3
"1988-06",226.3
"1988-07",218.2
"1988-08",184.6
"1988-09",174.9
"1988-10",161.4
"1988-11",161.4
"1988-12",145.8

Monthly water usage (ml/day), London Ontario, 1966-1988

