"Month","Ozone concentration, azusa, 1956-1970"
"1956-01",3.3
"1956-02",2.3
"1956-03",2.6
"1956-04",1.6
"1956-05",8.3
"1956-06",6.1
"1956-07",9
"1956-08",7.4
"1956-09",6.5
"1956-10",4.3
"1956-11",2.5
"1956-12",3.3
"1957-01",6.6
"1957-02",4.5
"1957-03",5.4
"1957-04",4.7
"1957-05",4.4
"1957-06",5.9
"1957-07",6.5
"1957-08",6.9
"1957-09",6.9
"1957-10",3.8
"1957-11",4.5
"1957-12",3.2
"1958-01",4.5
"1958-02",4.4
"1958-03",3.5
"1958-04",6
"1958-05",6.8
"1958-06",8.1
"1958-07",8.3
"1958-08",7.7
"1958-09",7.3
"1958-10",4.9
"1958-11",4.6
"1958-12",3.9
"1959-01",3.4
"1959-02",3
"1959-03",3.7
"1959-04",5.6
"1959-05",5
"1959-06",7.4
"1959-07",7.8
"1959-08",6.8
"1959-09",5.6
"1959-10",6.9
"1959-11",4.8
"1959-12",2.8
"1960-01",3
"1960-02",2.9
"1960-03",4.9
"1960-04",5.3
"1960-05",5.9
"1960-06",8
"1960-07",9
"1960-08",8.2
"1960-09",7.3
"1960-10",4.8
"1960-11",3.7
"1960-12",2.6
"1961-01",3
"1961-02",4.2
"1961-03",3.9
"1961-04",5.4
"1961-05",4.6
"1961-06",7.5
"1961-07",6.9
"1961-08",7.1
"1961-09",5.9
"1961-10",5.5
"1961-11",3.4
"1961-12",2.5
"1962-01",2.8
"1962-02",2.3
"1962-03",2.6
"1962-04",5.8
"1962-05",4.4
"1962-06",7.1
"1962-07",9.5
"1962-08",9.2
"1962-09",7.9
"1962-10",5.3
"1962-11",3.9
"1962-12",3.3
"1963-01",2.1
"1963-02",3.6
"1963-03",3
"1963-04",3.8
"1963-05",4.6
"1963-06",4.4
"1963-07",7.7
"1963-08",6.2
"1963-09",4.9
"1963-10",5.1
"1963-11",3.6
"1963-12",3.1
"1964-01",2.5
"1964-02",3.9
"1964-03",2.6
"1964-04",3.6
"1964-05",5.3
"1964-06",7
"1964-07",8.6
"1964-08",7.6
"1964-09",6.6
"1964-10",5.6
"1964-11",2.3
"1964-12",1.6
"1965-01",2.2
"1965-02",3.5
"1965-03",2.7
"1965-04",5.4
"1965-05",5.2
"1965-06",4.9
"1965-07",8.7
"1965-08",8.7
"1965-09",6.6
"1965-10",7
"1965-11",3.8
"1965-12",2.1
"1966-01",2.8
"1966-02",2.6
"1966-03",4.5
"1966-04",4.8
"1966-05",3.9
"1966-06",8
"1966-07",8.9
"1966-08",8.1
"1966-09",7.2
"1966-10",5.9
"1966-11",3.3
"1966-12",2.2
"1967-01",2.9
"1967-02",4.1
"1967-03",3.6
"1967-04",3.2
"1967-05",5.9
"1967-06",6.5
"1967-07",8.6
"1967-08",9.3
"1967-09",6.9
"1967-10",7.9
"1967-11",3.8
"1967-12",2.4
"1968-01",2.3
"1968-02",3
"1968-03",3.9
"1968-04",4.8
"1968-05",4.9
"1968-06",6.5
"1968-07",7.2
"1968-08",7
"1968-09",5.8
"1968-10",4.8
"1968-11",3.8
"1968-12",2.3
"1969-01",2.1
"1969-02",2.6
"1969-03",4.1
"1969-04",3.9
"1969-05",6.7
"1969-06",5.1
"1969-07",7.8
"1969-08",9.3
"1969-09",7.5
"1969-10",4.1
"1969-11",2.9
"1969-12",2.6
"1970-01",2
"1970-02",3.2
"1970-03",3.7
"1970-04",4.5
"1970-05",6.1
"1970-06",6.5
"1970-07",8.7
"1970-08",9.1
"1970-09",8.1
"1970-10",4.9
"1970-11",3.6
"1970-12",2

Ozone concentration, azusa, 1956-1970

