1821,2577
1822,523
1823,98
1824,184
1825,279
1826,409
1827,2285
1828,2685
1829,3409
1830,1824
1831,409
1832,151
1833,45
1834,68
1835,213
1836,546
1837,1033
1838,2129
1839,2536
1840,957
1841,361
1842,377
1843,225
1844,360
1845,731
1846,1638
1847,2725
1848,2871
1849,2119
1850,684
1851,299
1852,236
1853,245
1854,552
1855,1623
1856,3311
1857,6721
1858,4254
1859,687
1860,255
1861,473
1862,358
1863,784
1864,1594
1865,1676
1866,2251
1867,1426
1868,756
1869,299
1870,201
1871,229
1872,469
1873,736
1874,2042
1875,2811
1876,4431
1877,2511
1878,389
1879,73
1880,39
1881,49
1882,59
1883,188
1884,377
1885,1292
1886,4031
1887,3495
1888,587
1889,105
1890,153
1891,387
1892,758
1893,1307
1894,3465
1895,6991
1896,6313
1897,3794
1898,1836
1899,345
1900,382
1901,808
1902,1388
1903,2713
1904,3800
1905,3091
1906,2985
1907,3790
1908,674
1909,81
1910,80
1911,108
1912,229
1913,399
1914,1132
1915,2432
1916,3574
1917,2935
1918,1537
1919,529
1920,485
1921,662
1922,1000
1923,1590
1924,2657
1925,3396
