1848,21151
1849,24859
1850,25152
1851,42375
1852,50839
1853,61581
1854,61951
1855,76231
1856,63264
1857,44730
1858,31094
1859,49452
1860,43961
1861,61727
1862,60334
1863,51404
1864,58451
1865,73575
1866,74343
1867,27708
1868,31985
1869,39266
1870,44740
1871,60429
1872,72273
1873,79214
1874,79060
1875,84244
1876,62590
1877,35072
1878,36160
1879,45600
1880,47508
1881,52290
1882,110824
1883,76503
1884,64303
1885,83023
1886,40748
1887,35396
1888,29479
1889,42264
1890,58171
1891,50815
1892,51285
1893,70229
1894,76365
1895,70407
1896,41839
1897,45978
1898,47813
1899,57620
1900,66549
1901,54673
1902,55996
1903,60053
1904,39169
1905,21534
1906,17857
1907,21788
1908,33008
