"Month","Residential water consumption, Jan 1983 ? April 1994. Missing value for June 1988 (66th obs.) estimated by intervention analysis. London, United Kingdom."
"1983-01",39380250
"1983-02",43352569
"1983-03",48804249
"1983-04",38577311
"1983-05",51736944
"1983-06",52592569
"1983-07",49675760
"1983-08",72247376
"1983-09",68211427
"1983-10",64519626
"1983-11",60172503
"1983-12",44675551
"1984-01",45603722
"1984-02",43944919
"1984-03",51504681
"1984-04",37701628
"1984-05",50134461
"1984-06",57587275
"1984-07",51753941
"1984-08",63703945
"1984-09",55371629
"1984-10",51014093
"1984-11",68991433
"1984-12",31802013
"1985-01",44676726
"1985-02",51618995
"1985-03",45157664
"1985-04",44669689
"1985-05",56233606
"1985-06",52091230
"1985-07",72125308
"1985-08",71545973
"1985-09",62253865
"1985-10",59311339
"1985-11",56953858
"1985-12",40357964
"1986-01",53587755
"1986-02",50620499
"1986-03",45875110
"1986-04",50446548
"1986-05",55391987
"1986-06",51516196
"1986-07",70189242
"1986-08",58792913
"1986-09",59448721
"1986-10",59808175
"1986-11",61217663
"1986-12",41021367
"1987-01",61416921
"1987-02",39484107
"1987-03",56123187
"1987-04",43833755
"1987-05",53319837
"1987-06",79312266
"1987-07",86574777
"1987-08",80261369
"1987-09",78863607
"1987-10",64434798
"1987-11",60472726
"1987-12",47585042
"1988-01",54208204
"1988-02",58403597
"1988-03",56475322
"1988-04",47668697
"1988-05",52348045
"1988-06",69323880
"1988-07",100582658
"1988-08",105205178
"1988-09",73405903
"1988-10",61761980
"1988-11",59935159
"1988-12",45708957
"1989-01",65553063
"1989-02",51251343
"1989-03",58300163
"1989-04",47891860
"1989-05",50954604
"1989-06",62076389
"1989-07",70359185
"1989-08",97653444
"1989-09",78878241
"1989-10",76009331
"1989-11",61751053
"1989-12",42508235
"1990-01",60534297
"1990-02",53488702
"1990-03",56621147
"1990-04",52218845
"1990-05",62804935
"1990-06",61454213
"1990-07",70416701
"1990-08",76855594
"1990-09",59221683
"1990-10",64519626
"1990-11",60172503
"1990-12",43375551
"1991-01",47525506
"1991-02",54778860
"1991-03",44317601
"1991-04",53260373
"1991-05",53677209
"1991-06",59023305
"1991-07",73000172
"1991-08",75435772
"1991-09",74390116
"1991-10",64866052
"1991-11",50131642
"1991-12",49599322
"1992-01",49640020
"1992-02",49314376
"1992-03",55999172
"1992-04",44696022
"1992-05",55942755
"1992-06",66369104
"1992-07",64497024
"1992-08",55969723
"1992-09",63944781
"1992-10",50290335
"1992-11",50956222
"1992-12",48400480
"1993-01",47660472
"1993-02",43927473
"1993-03",50841346
"1993-04",45565837
"1993-05",51743702
"1993-06",58903973
"1993-07",64189897
"1993-08",64024299
"1993-09",74033281
"1993-10",52833385
"1993-11",51632411
"1993-12",47467431
"1994-01",44346357
"1994-02",53317327
"1994-03",55675090
"1994-04",46374745

Residential water consumption, Jan 1983 ? April 1994. Missing value for June 1988 (66th obs.) estimated by intervention analysis. London, United Kingdom.

