"Month","The total generation of electricity by the U.S. electric industry (monthly data for the period Jan. 1985 ? Oct. 1996) For recent data, click here"
"1985-01",227.86
"1985-02",198.24
"1985-03",194.97
"1985-04",184.88
"1985-05",196.79
"1985-06",205.36
"1985-07",226.72
"1985-08",226.05
"1985-09",202.5
"1985-10",194.79
"1985-11",192.43
"1985-12",219.25
"1986-01",217.47
"1986-02",192.34
"1986-03",196.83
"1986-04",186.07
"1986-05",197.31
"1986-06",215.02
"1986-07",242.67
"1986-08",225.17
"1986-09",206.69
"1986-10",197.75
"1986-11",196.43
"1986-12",213.55
"1987-01",222.75
"1987-02",194.03
"1987-03",201.85
"1987-04",189.5
"1987-05",206.07
"1987-06",225.59
"1987-07",247.91
"1987-08",247.64
"1987-09",213.01
"1987-10",203.01
"1987-11",200.26
"1987-12",220.5
"1988-01",237.9
"1988-02",216.94
"1988-03",214.01
"1988-04",196
"1988-05",208.37
"1988-06",232.75
"1988-07",257.46
"1988-08",267.69
"1988-09",220.18
"1988-10",210.61
"1988-11",209.59
"1988-12",232.75
"1989-01",232.75
"1989-02",219.82
"1989-03",226.74
"1989-04",208.04
"1989-05",220.12
"1989-06",235.69
"1989-07",257.05
"1989-08",258.69
"1989-09",227.15
"1989-10",219.91
"1989-11",219.3
"1989-12",259.04
"1990-01",237.29
"1990-02",212.88
"1990-03",226.03
"1990-04",211.07
"1990-05",222.91
"1990-06",249.18
"1990-07",266.38
"1990-08",268.53
"1990-09",238.02
"1990-10",224.69
"1990-11",213.75
"1990-12",237.43
"1991-01",248.46
"1991-02",210.82
"1991-03",221.4
"1991-04",209
"1991-05",234.37
"1991-06",248.43
"1991-07",271.98
"1991-08",268.11
"1991-09",233.88
"1991-10",223.43
"1991-11",221.38
"1991-12",233.76
"1992-01",243.97
"1992-02",217.76
"1992-03",224.66
"1992-04",210.84
"1992-05",220.35
"1992-06",236.84
"1992-07",266.15
"1992-08",255.2
"1992-09",234.76
"1992-10",221.29
"1992-11",221.26
"1992-12",244.13
"1993-01",245.78
"1993-02",224.62
"1993-03",234.8
"1993-04",211.37
"1993-05",222.39
"1993-06",249.63
"1993-07",282.29
"1993-08",279.13
"1993-09",236.6
"1993-10",223.62
"1993-11",225.86
"1993-12",246.41
"1994-01",261.7
"1994-02",225.01
"1994-03",231.54
"1994-04",214.82
"1994-05",227.7
"1994-06",263.86
"1994-07",278.15
"1994-08",274.64
"1994-09",237.66
"1994-10",227.97
"1994-11",224.75
"1994-12",242.91
"1995-01",253.08
"1995-02",228.13
"1995-03",233.68
"1995-04",217.38
"1995-05",236.38
"1995-06",256.08
"1995-07",292.83
"1995-08",304.71
"1995-09",245.57
"1995-10",234.41
"1995-11",234.12
"1995-12",258.17
"1996-01",268.66
"1996-02",245.31
"1996-03",247.47
"1996-04",226.25
"1996-05",251.67
"1996-06",268.79
"1996-07",288.94
"1996-08",290.16
"1996-09",250.69
"1996-10",240.8

The total generation of electricity by the U.S. electric industry (monthly data for the period Jan. 1985 ? Oct. 1996) For recent data, click here

