"Year","Tree: Gulmarg, Kashmir. Himalayan Fir 2740m 3508 07430"
"1604",1.362
"1605",1.524
"1606",1.823
"1607",1.462
"1608",1.418
"1609",1.305
"1610",0.907
"1611",0.878
"1612",0.781
"1613",0.616
"1614",0.696
"1615",0.762
"1616",0.975
"1617",0.879
"1618",1.091
"1619",0.955
"1620",0.952
"1621",0.645
"1622",0.564
"1623",0.51
"1624",0.693
"1625",0.731
"1626",0.559
"1627",0.884
"1628",1.248
"1629",1.244
"1630",1.371
"1631",1.225
"1632",1.274
"1633",1.052
"1634",1.076
"1635",1.032
"1636",0.826
"1637",0.914
"1638",1.128
"1639",0.995
"1640",0.942
"1641",0.74
"1642",1.085
"1643",1.477
"1644",1.162
"1645",1.134
"1646",1.102
"1647",1.477
"1648",1.155
"1649",1.215
"1650",0.758
"1651",1.173
"1652",0.607
"1653",1.056
"1654",0.786
"1655",1.116
"1656",1.205
"1657",1.299
"1658",1.099
"1659",1.139
"1660",1.093
"1661",1.092
"1662",0.97
"1663",0.833
"1664",1.278
"1665",0.852
"1666",0.746
"1667",0.824
"1668",0.834
"1669",0.625
"1670",0.801
"1671",0.652
"1672",0.662
"1673",0.94
"1674",1.152
"1675",1.352
"1676",0.898
"1677",0.861
"1678",0.985
"1679",0.823
"1680",0.718
"1681",0.967
"1682",1.055
"1683",1.094
"1684",1.055
"1685",1.185
"1686",1.114
"1687",1.269
"1688",1.452
"1689",1.145
"1690",1.264
"1691",1.512
"1692",1.48
"1693",1.152
"1694",1.13
"1695",1.223
"1696",1.008
"1697",0.888
"1698",0.93
"1699",0.973
"1700",0.857
"1701",0.705
"1702",0.881
"1703",0.851
"1704",1.013
"1705",0.936
"1706",1.06
"1707",0.843
"1708",1.099
"1709",1.119
"1710",1.152
"1711",1.107
"1712",1.068
"1713",1.114
"1714",1.2
"1715",1.063
"1716",1.081
"1717",1.008
"1718",1.041
"1719",0.815
"1720",0.817
"1721",0.891
"1722",0.982
"1723",0.874
"1724",1.165
"1725",1.224
"1726",0.715
"1727",0.868
"1728",0.802
"1729",0.656
"1730",0.757
"1731",0.867
"1732",1.061
"1733",0.974
"1734",1.009
"1735",1.052
"1736",1.104
"1737",0.98
"1738",1.001
"1739",1.109
"1740",1.117
"1741",1.085
"1742",0.932
"1743",0.91
"1744",0.887
"1745",0.923
"1746",0.795
"1747",0.605
"1748",0.81
"1749",0.654
"1750",0.601
"1751",0.929
"1752",0.708
"1753",0.664
"1754",0.912
"1755",0.734
"1756",1.024
"1757",0.994
"1758",0.98
"1759",1.269
"1760",1.291
"1761",1.253
"1762",1.105
"1763",1.088
"1764",1.298
"1765",1.084
"1766",1.3
"1767",1.181
"1768",0.951
"1769",1.124
"1770",1.116
"1771",1.141
"1772",1.28
"1773",1.251
"1774",1.319
"1775",1.114
"1776",1.159
"1777",1.37
"1778",1.162
"1779",1.237
"1780",1.093
"1781",0.925
"1782",0.951
"1783",1.159
"1784",0.997
"1785",0.782
"1786",0.817
"1787",0.712
"1788",0.743
"1789",0.805
"1790",0.689
"1791",0.924
"1792",1.043
"1793",1.055
"1794",0.934
"1795",1.048
"1796",1.182
"1797",0.869
"1798",1.079
"1799",1.031
"1800",1.134
"1801",1.048
"1802",1.023
"1803",1.013
"1804",0.881
"1805",0.905
"1806",0.801
"1807",0.896
"1808",0.823
"1809",0.799
"1810",0.949
"1811",0.936
"1812",0.854
"1813",0.925
"1814",1.042
"1815",1.134
"1816",1.158
"1817",0.958
"1818",1.022
"1819",1.098
"1820",1.466
"1821",1.095
"1822",1.079
"1823",0.769
"1824",0.75
"1825",0.689
"1826",0.814
"1827",0.745
"1828",0.895
"1829",0.934
"1830",0.947
"1831",0.673
"1832",0.946
"1833",0.854
"1834",1.115
"1835",1.15
"1836",1.257
"1837",1.297
"1838",1.134
"1839",0.939
"1840",1.066
"1841",0.917
"1842",1.037
"1843",1.077
"1844",1.079
"1845",0.703
"1846",0.761
"1847",0.749
"1848",0.874
"1849",0.9
"1850",0.833
"1851",0.96
"1852",0.793
"1853",0.866
"1854",0.978
"1855",0.977
"1856",1.27
"1857",1.015
"1858",1.056
"1859",1.009
"1860",1.012
"1861",0.667
"1862",0.698
"1863",0.673
"1864",0.76
"1865",0.934
"1866",0.896
"1867",0.791
"1868",0.823
"1869",0.87
"1870",0.926
"1871",0.709
"1872",0.857
"1873",0.938
"1874",0.938
"1875",0.732
"1876",1.033
"1877",0.928
"1878",1.174
"1879",1.167
"1880",1.107
"1881",0.869
"1882",0.952
"1883",0.853
"1884",0.883
"1885",0.688
"1886",0.905
"1887",0.951
"1888",1.068
"1889",1.124
"1890",1.009
"1891",0.999
"1892",1.19
"1893",1.358
"1894",1.657
"1895",1.45
"1896",1.395
"1897",1.177
"1898",1.128
"1899",1.149
"1900",0.977
"1901",1.061
"1902",1.042
"1903",1.061
"1904",1.257
"1905",1.107
"1906",1.071
"1907",1.085
"1908",1.159
"1909",1.121
"1910",1.101
"1911",0.916
"1912",1.068
"1913",1.014
"1914",0.993
"1915",0.805
"1916",0.883
"1917",0.939
"1918",0.965
"1919",0.977
"1920",0.927
"1921",1.004
"1922",1.067
"1923",1.136
"1924",1.043
"1925",1.086
"1926",0.966
"1927",1.119
