"Year","Tree: Mammoth Creek, Utah. Gt Basin B C Pine 2590m 3739-11240."
"0",0.936
"1",0.497
"2",0.54
"3",0.507
"4",0.67
"5",0.548
"6",0.969
"7",0.562
"8",0.707
"9",0.494
"10",0.592
"11",0.643
"12",0.531
"13",0.448
"14",0.465
"15",0.091
"16",0.568
"17",0.491
"18",0.832
"19",0.729
"20",0.675
"21",0.742
"22",0.606
"23",0.603
"24",0.32
"25",0.517
"26",0.448
"27",0.604
"28",0.72
"29",0.511
"30",0.795
"31",1.058
"32",1.593
"33",1.27
"34",1.809
"35",1.27
"36",1.099
"37",0.702
"38",0.822
"39",0.749
"40",0.879
"41",0.945
"42",0.705
"43",0.864
"44",0.534
"45",0.942
"46",0.736
"47",0.793
"48",0.589
"49",0.587
"50",1.303
"51",0.908
"52",0.694
"53",0.079
"54",0.927
"55",0.831
"56",0.533
"57",0.658
"58",1.167
"59",1.102
"60",1.239
"61",1.55
"62",1.62
"63",1.44
"64",0.609
"65",0.677
"66",1.211
"67",1.525
"68",1.401
"69",0.37
"70",0.832
"71",0.838
"72",0.967
"73",0.895
"74",1.088
"75",0.733
"76",1.15
"77",1.114
"78",2.177
"79",1.961
"80",0.996
"81",1.109
"82",1.305
"83",1.381
"84",1.286
"85",0.805
"86",0.96
"87",1.025
"88",1.459
"89",1.48
"90",1.213
"91",1.068
"92",1.109
"93",0.755
"94",0.997
"95",1.069
"96",1.536
"97",1.458
"98",1.638
"99",1.659
"100",0.509
"101",0.992
"102",0.303
"103",0.841
"104",0.815
"105",0.357
"106",0.829
"107",0.637
"108",0.731
"109",0.051
"110",0.786
"111",0.756
"112",0.846
"113",1.292
"114",1.003
"115",1.079
"116",0.643
"117",1.02
"118",0.796
"119",1.302
"120",0.972
"121",1.931
"122",1.396
"123",0.81
"124",0.989
"125",0.986
"126",0.715
"127",0.886
"128",0.974
"129",0.357
"130",1.113
"131",0.292
"132",0.831
"133",0.717
"134",0.702
"135",0.497
"136",1.158
"137",0.517
"138",1.14
"139",0.905
"140",0.911
"141",0.958
"142",0.667
"143",0.46
"144",0.357
"145",0.075
"146",0.705
"147",0.166
"148",0.802
"149",0.651
"150",0.166
"151",0.798
"152",0.838
"153",1.06
"154",0.815
"155",1.513
"156",1.327
"157",0.881
"158",0.798
"159",0.652
"160",0.669
"161",0.615
"162",0.103
"163",0.999
"164",1.018
"165",0.611
"166",0.978
"167",0.974
"168",1.084
"169",0.739
"170",1.341
"171",1.084
"172",1.114
"173",0.747
"174",0.662
"175",0.864
"176",0.875
"177",0.997
"178",0.377
"179",0.769
"180",0.973
