"Year","Tree: Spruce Mountain, Nevada. Gt Basin B C Pine 3110m 4033-11449"
"302",1.293
"303",0.668
"304",1.129
"305",1.299
"306",0.755
"307",0.925
"308",1.431
"309",0.843
"310",1.478
"311",1.269
"312",0.889
"313",1.018
"314",1.19
"315",1.064
"316",0.98
"317",0.64
"318",1.026
"319",1.456
"320",0.557
"321",0.472
"322",0.946
"323",0.948
"324",1.208
"325",1.297
"326",0.909
"327",1.474
"328",1.346
"329",1.087
"330",1.176
"331",1.484
"332",1.748
"333",1.138
"334",1.754
"335",0.922
"336",1.1
"337",1.586
"338",1.103
"339",1.224
"340",1.12
"341",1.079
"342",0.834
"343",1.1
"344",0.989
"345",1.115
"346",1.301
"347",1.058
"348",1.252
"349",1.248
"350",1.519
"351",1.304
"352",1.164
"353",1.331
"354",1.188
"355",1.248
"356",1.693
"357",1.383
"358",1.537
"359",0.695
"360",1.219
"361",1.099
"362",1.114
"363",0.661
"364",0.893
"365",1.568
"366",1.087
"367",1.292
"368",1.018
"369",0.823
"370",0.827
"371",1.202
"372",1.408
"373",0.726
"374",0.923
"375",0.774
"376",1.028
"377",0.681
"378",0.687
"379",1.022
"380",1.056
"381",0.873
"382",0.761
"383",0.529
"384",0.722
"385",0.498
"386",0.504
"387",0.628
"388",0.732
"389",0.79
"390",0.976
"391",0.999
"392",1.014
"393",0.906
"394",0.735
"395",0.415
"396",0.639
"397",0.472
"398",0.598
"399",0.674
"400",0.451
"401",0.588
"402",0.48
"403",0.214
"404",0.705
"405",0.71
"406",0.802
"407",0.887
"408",0.736
"409",0.673
"410",0.973
"411",0.61
"412",0.487
"413",0.558
"414",0.651
"415",0.707
"416",0.726
"417",0.791
"418",0.958
"419",0.422
"420",0.722
"421",0.665
"422",0.883
"423",0.487
"424",0.437
"425",0.952
"426",0.715
"427",1.297
"428",0.682
"429",0.772
"430",0.739
"431",0.57
"432",0.537
"433",0.689
"434",0.844
"435",0.791
"436",0.628
"437",0.453
"438",1.527
"439",1.057
"440",0.679
"441",0.962
"442",0.883
"443",1.219
"444",1.25
"445",1.834
"446",1.989
"447",1.245
"448",0.968
"449",0.615
"450",1.317
"451",1.756
"452",1.551
"453",1.413
"454",1.5
"455",1.369
"456",1.145
"457",1.181
"458",0.956
"459",1.587
"460",1.077
"461",1.298
"462",1.047
"463",0.918
"464",1.24
"465",1.172
"466",0.813
"467",0.949
"468",1.074
"469",0.997
"470",1.04
"471",0.936
"472",1.076
"473",1
"474",1.043
"475",0.987
"476",1.088
"477",1.882
"478",1.776
"479",1.088
"480",2.215
"481",1.3
