"Month","U.K. deaths from bronchitis, emphysema and asthma"
"1974-01",5
"1974-02",1492
"1974-03",522
"1974-04",6
"1974-05",1249
"1974-06",406
"1974-07",7
"1974-08",1280
"1974-09",441
"1974-10",8
"1974-11",1131
"1974-12",393
"1975-01",9
"1975-02",1209
"1975-03",387
"1975-04",10
"1975-05",1492
"1975-06",582
"1975-07",11
"1975-08",1621
"1975-09",578
"1975-10",12
"1975-11",1846
"1975-12",666
"1976-01",13
"1976-02",2103
"1976-03",830
"1976-04",14
"1976-05",2137
"1976-06",752
"1976-07",15
"1976-08",2153
"1976-09",785
"1976-10",16
"1976-11",1833
"1976-12",664
"1977-01",17
"1977-02",1403
"1977-03",467
"1977-04",18
"1977-05",1288
"1977-06",438
"1977-07",19
"1977-08",1186
"1977-09",421
"1977-10",20
"1977-11",1133
"1977-12",412
"1978-01",21
"1978-02",1053
"1978-03",343
"1978-04",22
"1978-05",1347
"1978-06",440
"1978-07",23
"1978-08",1545
"1978-09",531
"1978-10",24
"1978-11",2066
"1978-12",771
"1979-01",25
"1979-02",2020
"1979-03",767
"1979-04",26
"1979-05",2750
"1979-06",1141
"1979-07",27
"1979-08",2283
"1979-09",896
"1979-10",28
"1979-11",1479
"1979-12",532
"1980-01",29
"1980-02",1189
"1980-03",447
"1980-04",30
"1980-05",1160
"1980-06",420
"1980-07",31
"1980-08",1113
"1980-09",376
"1980-10",32
"1980-11",970
"1980-12",330
"1981-01",33
"1981-02",999
"1981-03",357
"1981-04",34
"1981-05",1208
"1981-06",445
"1981-07",35
"1981-08",1467
"1981-09",546
"1981-10",36
"1981-11",2059
"1981-12",764
"1982-01",37
"1982-02",2240
"1982-03",862
"1982-04",38
"1982-05",1634
"1982-06",660
"1982-07",39
"1982-08",1722
"1982-09",663
"1982-10",40
"1982-11",1801
"1982-12",643
"1983-01",41
"1983-02",1246
"1983-03",502
"1983-04",42
"1983-05",1162
"1983-06",392
"1983-07",43
"1983-08",1087
"1983-09",411
"1983-10",44
"1983-11",1013
"1983-12",348
"1984-01",45
"1984-02",959
"1984-03",387
"1984-04",46
"1984-05",1179
"1984-06",385
"1984-07",47
"1984-08",1229
"1984-09",411
"1984-10",48
"1984-11",1655
"1984-12",638
"1985-01",49
"1985-02",2019
"1985-03",796
"1985-04",50
"1985-05",2284
"1985-06",853
"1985-07",51
"1985-08",1942
"1985-09",737
"1985-10",52
"1985-11",1423
"1985-12",546
"1986-01",53
"1986-02",1340
"1986-03",530
"1986-04",54
"1986-05",1187
"1986-06",446
"1986-07",55
"1986-08",1098
"1986-09",431
"1986-10",56
"1986-11",1004
"1986-12",362
"1987-01",57
"1987-02",970
"1987-03",387
"1987-04",58
"1987-05",1140
"1987-06",430
"1987-07",59
"1987-08",1110
"1987-09",425
"1987-10",60
"1987-11",1812
"1987-12",679
"1988-01",61
"1988-02",2263
"1988-03",821
"1988-04",62
"1988-05",1820
"1988-06",785
"1988-07",63
"1988-08",1846
"1988-09",727
"1988-10",64
"1988-11",1531
"1988-12",612
"1989-01",65
"1989-02",1215
"1989-03",478
"1989-04",66
"1989-05",1075
"1989-06",429
"1989-07",67
"1989-08",1056
"1989-09",405
"1989-10",68
"1989-11",975
"1989-12",379
"1990-01",69
"1990-02",940
"1990-03",393
"1990-04",70
"1990-05",1081
"1990-06",411
"1990-07",71
"1990-08",1294
"1990-09",487
"1990-10",72
"1990-11",1341
"1990-12",574

U.K. deaths from bronchitis, emphysema and asthma

