"Month","Weekday bus ridership, Iowa city, Iowa (monthly averages) September, 1971 through December, 1982, n=148"
"1971-09",3603
"1971-10",4448
"1971-11",4734
"1971-12",4353
"1972-01",5438
"1972-02",5954
"1972-03",4838
"1972-04",4532
"1972-05",3599
"1972-06",3248
"1972-07",3230
"1972-08",2790
"1972-09",4738
"1972-10",5043
"1972-11",5367
"1972-12",5262
"1973-01",5065
"1973-02",5824
"1973-03",4612
"1973-04",4823
"1973-05",3564
"1973-06",3651
"1973-07",3625
"1973-08",3170
"1973-09",5022
"1973-10",5018
"1973-11",5326
"1973-12",5412
"1974-01",6345
"1974-02",6698
"1974-03",5605
"1974-04",5260
"1974-05",3789
"1974-06",4023
"1974-07",3775
"1974-08",3384
"1974-09",5303
"1974-10",5506
"1974-11",5645
"1974-12",5168
"1975-01",6173
"1975-02",6776
"1975-03",5957
"1975-04",5777
"1975-05",3833
"1975-06",4200
"1975-07",3891
"1975-08",3595
"1975-09",5862
"1975-10",5719
"1975-11",5957
"1975-12",5226
"1976-01",6467
"1976-02",6383
"1976-03",5589
"1976-04",5296
"1976-05",3943
"1976-06",4188
"1976-07",3673
"1976-08",3475
"1976-09",5392
"1976-10",5583
"1976-11",5738
"1976-12",4944
"1977-01",6552
"1977-02",6451
"1977-03",5354
"1977-04",5081
"1977-05",3874
"1977-06",3973
"1977-07",3751
"1977-08",3621
"1977-09",5328
"1977-10",5427
"1977-11",5419
"1977-12",5983
"1978-01",6568
"1978-02",8346
"1978-03",6800
"1978-04",6308
"1978-05",4857
"1978-06",4663
"1978-07",4499
"1978-08",3878
"1978-09",6031
"1978-10",6325
"1978-11",6764
"1978-12",6929
"1979-01",7557
"1979-02",8182
"1979-03",6892
"1979-04",6860
"1979-05",5181
"1979-06",5462
"1979-07",5328
"1979-08",4331
"1979-09",7279
"1979-10",7772
"1979-11",8262
"1979-12",7499
"1980-01",8081
"1980-02",10121
"1980-03",8745
"1980-04",8045
"1980-05",5906
"1980-06",5274
"1980-07",5283
"1980-08",4956
"1980-09",7879
"1980-10",8289
"1980-11",8422
"1980-12",7832
"1981-01",7857
"1981-02",10008
"1981-03",8057
"1981-04",7791
"1981-05",6147
"1981-06",5438
"1981-07",5494
"1981-08",5253
"1981-09",8154
"1981-10",8604
"1981-11",8832
"1981-12",7815
"1982-01",10179
"1982-02",11460
"1982-03",9641
"1982-04",9243
"1982-05",6824
"1982-06",6149
"1982-07",6161
"1982-08",5962
"1982-09",9068
"1982-10",9538
"1982-11",9988
"1982-12",7916

Weekday bus ridership, Iowa city, Iowa (monthly averages) September, 1971 through December, 1982, n=148

